"Time (s)";"Temperature (°C)"
1,981041375E1;3,438671875E1
1,991041375E1;3,442578125E1
2,001041375E1;3,444140625E1
2,011041375E1;3,444531250E1
2,021041375E1;3,440234375E1
2,031041375E1;3,435546875E1
2,041041375E1;3,441015625E1
2,051041375E1;3,438671875E1
2,061041375E1;3,435546875E1
2,071041375E1;3,439062500E1
2,081041375E1;3,440234375E1
2,091041375E1;3,440625000E1
2,101041375E1;3,435546875E1
2,111041375E1;3,432421875E1
2,121041375E1;3,436718750E1
2,131041375E1;3,433593750E1
2,141041375E1;3,431640625E1
2,151041375E1;3,427734375E1
2,161041375E1;3,433593750E1
2,171041375E1;3,430859375E1
2,181041375E1;3,432421875E1
2,191041375E1;3,431640625E1
2,201041375E1;3,428515625E1
2,211041375E1;3,428515625E1
2,221041375E1;3,426562500E1
2,231041375E1;3,428906250E1
2,241041375E1;3,430078125E1
2,251041375E1;3,429296875E1
2,261041375E1;3,431250000E1
2,271041375E1;3,424218750E1
2,281041375E1;3,423437500E1
2,291041375E1;3,428906250E1
2,301041375E1;3,423437500E1
2,311041375E1;3,425781250E1
2,321041375E1;3,425000000E1
2,331041375E1;3,425781250E1
2,341041375E1;3,425781250E1
2,351041375E1;3,424218750E1
2,361041375E1;3,421093750E1
2,371041375E1;3,419140625E1
2,381041375E1;3,419140625E1
2,391041375E1;3,421875000E1
2,401041375E1;3,420312500E1
2,411041375E1;3,418359375E1
2,421041375E1;3,416015625E1
2,431041375E1;3,416015625E1
2,441041375E1;3,418359375E1
2,451041375E1;3,415234375E1
2,461041375E1;3,416796875E1
2,471041375E1;3,414453125E1
2,481041375E1;3,415234375E1
2,491041375E1;3,414453125E1
2,501041375E1;3,411328125E1
2,511041375E1;3,412500000E1
2,521041375E1;3,409375000E1
2,531041375E1;3,408593750E1
2,541041375E1;3,409375000E1
2,551041375E1;3,404296875E1
2,561041375E1;3,405859375E1
2,571041375E1;3,408593750E1
2,581041375E1;3,405859375E1
2,591041375E1;3,405859375E1
2,601041375E1;3,403515625E1
2,611041375E1;3,400781250E1
2,621041375E1;3,402734375E1
2,631041375E1;3,407812500E1
2,641041375E1;3,398437500E1
2,651041375E1;3,403125000E1
2,661041375E1;3,402343750E1
2,671041375E1;3,403906250E1
2,681041375E1;3,401171875E1
2,691041375E1;3,394531250E1
2,701041375E1;3,397656250E1
2,711041375E1;3,399218750E1
2,721041375E1;3,399218750E1
2,731041375E1;3,399218750E1
2,741041375E1;3,397656250E1
2,751041375E1;3,396093750E1
2,761041375E1;3,396093750E1
2,771041375E1;3,395312500E1
2,781041375E1;3,392578125E1
2,791041375E1;3,393750000E1
2,801041375E1;3,392578125E1
2,811041375E1;3,390234375E1
2,821041375E1;3,391015625E1
2,831041375E1;3,388671875E1
2,841041375E1;3,391015625E1
2,851041375E1;3,391796875E1
2,861041375E1;3,392578125E1
2,871041375E1;3,386718750E1
2,881041375E1;3,387500000E1
2,891041375E1;3,387890625E1
2,901041375E1;3,387890625E1
2,911041375E1;3,389062500E1
2,921041375E1;3,387109375E1
2,931041375E1;3,389062500E1
2,941041375E1;3,385937500E1
2,951041375E1;3,382031250E1
2,961041375E1;3,387109375E1
2,971041375E1;3,382031250E1
2,981041375E1;3,384375000E1
2,991041375E1;3,384375000E1
3,001041375E1;3,382031250E1
3,011041375E1;3,384375000E1
3,021041375E1;3,376562500E1
3,031041375E1;3,377734375E1
3,041041375E1;3,381250000E1
3,051041375E1;3,373437500E1
3,061041375E1;3,376171875E1
3,071041375E1;3,377734375E1
3,081041375E1;3,378515625E1
3,091041375E1;3,376562500E1
3,101041375E1;3,373828125E1
3,111041375E1;3,376562500E1
3,121041375E1;3,375390625E1
3,131041375E1;3,371093750E1
3,141041375E1;3,371875000E1
3,151041375E1;3,370312500E1
3,161041375E1;3,374609375E1
3,171041375E1;3,370703125E1
3,181041375E1;3,375390625E1
3,191041375E1;3,369531250E1
3,201041375E1;3,367968750E1
3,211041375E1;3,371875000E1
3,221041375E1;3,371093750E1
3,231041375E1;3,371875000E1
3,241041375E1;3,370312500E1
3,251041375E1;3,371875000E1
3,261041375E1;3,368750000E1
3,271041375E1;3,370312500E1
3,281041375E1;3,371093750E1
3,291041375E1;3,369531250E1
3,301041375E1;3,371875000E1
3,311041375E1;3,370312500E1
3,321041375E1;3,370312500E1
3,331041375E1;3,367968750E1
3,341041375E1;3,371093750E1
3,351041375E1;3,370312500E1
3,361041375E1;3,367968750E1
3,371041375E1;3,367968750E1
3,381041375E1;3,367187500E1
3,391041375E1;3,368750000E1
3,401041375E1;3,367187500E1
3,411041375E1;3,369531250E1
3,421041375E1;3,371875000E1
3,431041375E1;3,366015625E1
3,441041375E1;3,367968750E1
3,451041375E1;3,367187500E1
3,461041375E1;3,369531250E1
3,471041375E1;3,368750000E1
3,481041375E1;3,367187500E1
3,491041375E1;3,371093750E1
3,501041375E1;3,367187500E1
3,511041375E1;3,367968750E1
3,521041375E1;3,367968750E1
3,531041375E1;3,367968750E1
3,541041375E1;3,370312500E1
3,551041375E1;3,367187500E1
3,561041375E1;3,372656250E1
3,571041375E1;3,367187500E1
3,581041375E1;3,365234375E1
3,591041375E1;3,367968750E1
3,601041375E1;3,367187500E1
3,611041375E1;3,367968750E1
3,621041375E1;3,366015625E1
3,631041375E1;3,365234375E1
3,641041375E1;3,362890625E1
3,651041375E1;3,365234375E1
3,661041375E1;3,363671875E1
3,671041375E1;3,365234375E1
3,681041375E1;3,366015625E1
3,691041375E1;3,365234375E1
3,701041375E1;3,364453125E1
3,711041375E1;3,364453125E1
3,721041375E1;3,365234375E1
3,731041375E1;3,363281250E1
3,741041375E1;3,362500000E1
3,751041375E1;3,359375000E1
3,761041375E1;3,364062500E1
3,771041375E1;3,362109375E1
3,781041375E1;3,364453125E1
3,791041375E1;3,362890625E1
3,801041375E1;3,359375000E1
3,811041375E1;3,363671875E1
3,821041375E1;3,357812500E1
3,831041375E1;3,362890625E1
3,841041375E1;3,357812500E1
3,851041375E1;3,357812500E1
3,861041375E1;3,362109375E1
3,871041375E1;3,362890625E1
3,881041375E1;3,354687500E1
3,891041375E1;3,357812500E1
3,901041375E1;3,358593750E1
3,911041375E1;3,361328125E1
3,921041375E1;3,354687500E1
3,931041375E1;3,353906250E1
3,941041375E1;3,351171875E1
3,951041375E1;3,352734375E1
3,961041375E1;3,350390625E1
3,971041375E1;3,351953125E1
3,981041375E1;3,354687500E1
3,991041375E1;3,350000000E1
4,001041375E1;3,354687500E1
4,011041375E1;3,350781250E1
4,021041375E1;3,348828125E1
4,031041375E1;3,348046875E1
4,041041375E1;3,348046875E1
4,051041375E1;3,345312500E1
4,061041375E1;3,347265625E1
4,071041375E1;3,347265625E1
4,081041375E1;3,348828125E1
4,091041375E1;3,348046875E1
4,101041375E1;3,349609375E1
4,111041375E1;3,344531250E1
4,121041375E1;3,343750000E1
4,131041375E1;3,343750000E1
4,141041375E1;3,342968750E1
4,151041375E1;3,342187500E1
4,161041375E1;3,345312500E1
4,171041375E1;3,343750000E1
4,181041375E1;3,348046875E1
4,191041375E1;3,342968750E1
4,201041375E1;3,343750000E1
4,211041375E1;3,344531250E1
4,221041375E1;3,342187500E1
4,231041375E1;3,343750000E1
4,241041375E1;3,342187500E1
4,251041375E1;3,345312500E1
4,261041375E1;3,342968750E1
4,271041375E1;3,343750000E1
4,281041375E1;3,344531250E1
4,291041375E1;3,342968750E1
4,301041375E1;3,347265625E1
4,311041375E1;3,343750000E1
4,321041375E1;3,344531250E1
4,331041375E1;3,340625000E1
4,341041375E1;3,342968750E1
4,351041375E1;3,346093750E1
4,361041375E1;3,345312500E1
4,371041375E1;3,343750000E1
4,381041375E1;3,344531250E1
4,391041375E1;3,342968750E1
4,401041375E1;3,342968750E1
4,411041375E1;3,342187500E1
4,421041375E1;3,346093750E1
4,431041375E1;3,341406250E1
4,441041375E1;3,342187500E1
4,451041375E1;3,342968750E1
4,461041375E1;3,342968750E1
4,471041375E1;3,340625000E1
4,481041375E1;3,344531250E1
4,491041375E1;3,340625000E1
4,501041375E1;3,341406250E1
4,511041375E1;3,338671875E1
4,521041375E1;3,338671875E1
4,531041375E1;3,338281250E1
4,541041375E1;3,336718750E1
4,551041375E1;3,337109375E1
4,561041375E1;3,338671875E1
4,571041375E1;3,338281250E1
4,581041375E1;3,340625000E1
4,591041375E1;3,338671875E1
4,601041375E1;3,338281250E1
4,611041375E1;3,341406250E1
4,621041375E1;3,339062500E1
4,631041375E1;3,337500000E1
4,641041375E1;3,335937500E1
4,651041375E1;3,337890625E1
4,661041375E1;3,338281250E1
4,671041375E1;3,336718750E1
4,681041375E1;3,341406250E1
4,691041375E1;3,337500000E1
