"Time (s)";"Illuminance (lx)"
0,000000000E0;1,072459375E4
1,060877554E0;6,605194824E3
2,613526233E0;9,952499390E0
2,657885935E0;1,122624969E1
5,850971546E0;9,569999695E0
6,205674069E0;7,302499771E0
6,250018715E0;4,920000076E0
6,848655286E0;6,014999866E0
8,799773255E0;4,648749828E0
9,952959359E0;0,000000000E0
1,044088544E1;6,875000000E-1
1,052958641E1;1,688749909E0
1,066265127E1;3,962499857E0
1,159401966E1;6,787499785E-1
1,177144093E1;2,247499943E0
1,288029899E1;0,000000000E0
1,314640972E1;2,257499933E0
1,390079218E1;6,887499690E-1
1,496568641E1;1,199999928E0
1,768250883E1;5,387499928E-1
2,694314929E2;3,140637512E2
2,697975213E2;3,974582520E3
