"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
9,440359189E0;-1,509140015E1;2,413159943E1;3,785659790E1
9,540359189E0;-1,384700012E1;2,546139908E1;3,729539871E1
9,640359189E0;-1,320039940E1;2,375339890E1;3,789319992E1
9,740359189E0;-1,376159954E1;2,160619926E1;3,893019867E1
9,840359189E0;-1,344439983E1;1,437160015E1;4,298059845E1
9,940359189E0;-1,219999981E1;7,978799820E0;4,526199722E1
1,004035919E1;-9,979599953E0;1,427399993E0;4,659180069E1
1,014035919E1;-8,308199883E0;-4,282199860E0;4,706760025E1
1,024035919E1;-1,093120003E1;-2,940199852E0;4,633559799E1
1,034035919E1;-1,176079941E1;3,476999998E0;4,567679977E1
1,044035919E1;-1,111419964E1;1,128499985E1;4,382239914E1
1,054035919E1;-1,022359943E1;1,930039978E1;4,163859940E1
1,064035919E1;-5,733999729E0;2,353380013E1;3,966220093E1
1,074035919E1;-6,075599670E0;2,175259972E1;4,019899750E1
1,084035919E1;-6,563600063E0;2,054479980E1;4,101639938E1
1,094035919E1;-6,295199871E0;1,726300049E1;4,261459732E1
1,104035919E1;-4,074800014E0;4,635999680E0;4,686019897E1
1,114035919E1;-1,463999987E0;-3,355000019E0;4,728720093E1
1,124035919E1;-1,183400035E0;-6,270800114E0;4,782399750E1
1,134035919E1;-3,062199831E0;-3,818599939E0;4,790940094E1
1,144035919E1;-6,039000034E0;8,369199753E0;4,699440002E1
1,154035919E1;-4,574999809E0;1,554279995E1;4,589640045E1
1,164035919E1;-1,805599928E0;2,156959915E1;4,301720047E1
1,174035919E1;-4,757999778E-1;2,348499870E1;4,145560074E1
1,184035919E1;-2,549799919E0;2,282620049E1;4,144339752E1
1,194035919E1;-4,074800014E0;1,976399994E1;4,348080063E1
1,204035919E1;-5,306999683E0;1,517679977E1;4,567679977E1
1,214035919E1;-4,574999809E0;8,783999443E0;4,776300049E1
1,224035919E1;-4,111400127E0;-8,173999786E-1;4,866579819E1
1,234035919E1;-6,612400055E0;6,100000143E-1;4,816559982E1
1,244035919E1;-9,515999794E0;5,380199909E0;4,704319763E1
1,254035919E1;-1,065059948E1;1,294419956E1;4,556699753E1
1,264035919E1;-4,050399780E0;2,513199997E1;4,089439774E1
1,274035919E1;-2,293599844E0;2,696199989E1;3,929619980E1
1,284035919E1;-2,952399969E0;2,723040009E1;3,943040085E1
1,294035919E1;-5,197199821E0;2,461960030E1;4,073579788E1
1,304035919E1;-6,478199959E0;1,506699944E1;4,622579956E1
1,314035919E1;-4,965399742E0;8,600999832E0;4,747019958E1
1,324035919E1;-2,415600061E0;2,415600061E0;4,876339722E1
1,334035919E1;-1,268800020E0;-9,515999556E-1;4,905619812E1
1,344035919E1;-5,611999989E0;6,453799725E0;4,811679840E1
1,354035919E1;-7,234600067E0;1,505480003E1;4,610379791E1
1,364035919E1;-6,929599762E0;2,249679947E1;4,232180023E1
1,374035919E1;-5,380199909E0;2,801119995E1;3,899119949E1
1,384035919E1;-5,453399658E0;2,857239914E1;3,834460068E1
1,394035919E1;-8,698599815E0;2,579080009E1;3,962559891E1
1,404035919E1;-1,043099976E1;2,149639893E1;4,219979858E1
1,414035919E1;-1,226099968E1;1,671399879E1;4,370039749E1
1,424035919E1;-8,076399803E0;2,635200024E0;4,860479736E1
1,434035919E1;-7,466399670E0;-2,073999941E-1;4,831200027E1
1,444035919E1;-9,149999619E0;1,049199939E0;4,847060013E1
1,454035919E1;-1,105319977E1;7,149199963E0;4,736039734E1
1,464035919E1;-9,857600212E0;2,169159889E1;4,162639999E1
1,474035919E1;-7,014999866E0;2,605920029E1;3,939379883E1
1,484035919E1;-6,697799683E0;2,874320030E1;3,823479843E1
1,494035919E1;-7,746999741E0;2,738899994E1;3,801519775E1
1,504035919E1;-1,235859966E1;2,069120026E1;4,163859940E1
1,514035919E1;-1,351760006E1;1,581120014E1;4,399319839E1
1,524035919E1;-1,195599937E1;9,284199715E0;4,636000061E1
1,534035919E1;-9,637999535E0;2,134999990E0;4,808020020E1
1,544035919E1;-1,124839973E1;-3,660000116E-2;4,744580078E1
1,554035919E1;-1,374940014E1;6,466000080E0;4,611599731E1
1,564035919E1;-1,394460011E1;1,510359955E1;4,361499786E1
1,574035919E1;-1,155340004E1;2,277739906E1;4,006480026E1
1,584035919E1;-1,060179996E1;3,046339989E1;3,448939896E1
1,594035919E1;-1,356639957E1;2,871879959E1;3,540439987E1
1,604035919E1;-1,756799889E1;2,481480026E1;3,677079773E1
1,614035919E1;-2,049600029E1;1,909300041E1;3,835680008E1
1,624035919E1;-1,976399994E1;5,977999687E0;4,288299942E1
1,634035919E1;-1,934919930E1;2,561999857E-1;4,377359772E1
1,644035919E1;-2,158180046E1;-8,417999744E-1;4,227299881E1
1,654035919E1;-2,353380013E1;3,611199856E0;4,082119751E1
1,664035919E1;-2,265539932E1;1,861719894E1;3,495299911E1
1,674035919E1;-1,916619873E1;2,469279861E1;3,280579758E1
1,684035919E1;-1,886120033E1;2,596159935E1;3,231779861E1
1,694035919E1;-2,137439919E1;2,492459869E1;3,289120102E1
1,704035919E1;-2,675459862E1;1,453020000E1;3,631940079E1
1,714035919E1;-2,777939987E1;6,514800072E0;3,828359985E1
1,724035919E1;-2,509539986E1;-4,501800060E0;4,005260086E1
1,734035919E1;-2,217959976E1;-1,267579937E1;3,982080078E1
1,744035919E1;-2,313119888E1;-7,722599983E0;3,672200012E1
1,754035919E1;-2,324099922E1;-1,219999939E-1;3,412339783E1
1,764035919E1;-2,148419952E1;7,783599854E0;3,168339920E1
1,774035919E1;-1,934919930E1;1,481079960E1;2,937759972E1
1,784035919E1;-1,747039986E1;2,023979950E1;2,993879890E1
1,794035919E1;-2,027639961E1;1,855620003E1;3,034140015E1
1,804035919E1;-2,214299965E1;1,400559998E1;3,256179810E1
1,814035919E1;-2,224059868E1;8,308199883E0;3,562400055E1
1,824035919E1;-2,098399925E1;-4,221199989E0;3,901559830E1
1,834035919E1;-2,232600021E1;-2,000799894E0;3,879599762E1
1,844035919E1;-2,472939873E1;5,148399830E0;3,701480103E1
1,854035919E1;-2,420479965E1;1,371280003E1;3,413560104E1
1,864035919E1;-1,823900032E1;2,497340012E1;3,031699944E1
1,874035919E1;-1,705559921E1;2,565659904E1;3,019499969E1
1,884035919E1;-1,883679962E1;2,364360046E1;3,074399948E1
1,894035919E1;-2,023979950E1;2,087419891E1;3,331819916E1
1,904035919E1;-1,906859970E1;9,552599907E0;4,079679871E1
1,914035919E1;-1,736059952E1;3,147599936E0;4,428599930E1
1,924035919E1;-1,798279953E1;1,598199964E0;4,548159790E1
1,934035919E1;-1,987380028E1;5,807199955E0;4,548159790E1
1,944035919E1;-2,080099869E1;2,593719864E1;4,041859818E1
1,954035919E1;-1,801939964E1;3,524580002E1;3,579479980E1
1,964035919E1;-1,688479996E1;3,974760056E1;3,297660065E1
1,974035919E1;-1,888559914E1;4,062599945E1;3,346459961E1
1,984035919E1;-2,548579979E1;3,689279938E1;3,712459946E1
1,994035919E1;-2,749880028E1;3,522140121E1;3,994279861E1
2,004035919E1;-2,799899864E1;3,351340103E1;4,166299820E1
2,014035919E1;-2,846259880E1;3,124419975E1;4,418840027E1
2,024035919E1;-2,799899864E1;2,408279991E1;5,062999725E1
2,034035919E1;-2,738899994E1;1,693359947E1;5,344820023E1
2,044035919E1;-2,579080009E1;1,015040016E1;5,428999710E1
2,054035919E1;-2,481480026E1;3,489199877E0;5,206959915E1
2,064035919E1;-1,351760006E1;-9,040200233E0;5,048360062E1
2,074035919E1;-1,226099968E1;-1,123619938E1;4,890979767E1
2,084035919E1;-1,339559937E1;-5,477799892E0;4,823880005E1
2,094035919E1;-1,320039940E1;3,037799835E0;4,805579758E1
2,104035919E1;-8,295999527E0;1,718980026E1;4,432259750E1
2,114035919E1;-5,404599667E0;1,934919930E1;4,333440018E1
2,124035919E1;-4,294399738E0;1,820240021E1;4,399319839E1
2,134035919E1;-5,733999729E0;1,577460003E1;4,476179886E1
2,144035919E1;-4,806799889E0;1,035779953E1;4,739699936E1
2,154035919E1;-3,074399948E0;6,112199783E0;4,831200027E1
2,164035919E1;-8,905999660E-1;7,197999954E-1;4,858039856E1
2,174035919E1;1,061399937E0;-2,891399860E0;4,906839752E1
2,184035919E1;-2,439999953E-2;-9,393999577E-1;4,883659744E1
2,194035919E1;-2,208199978E0;4,757999897E0;4,837299728E1
2,204035919E1;-2,061800003E0;1,190719986E1;4,748239899E1
2,214035919E1;5,245999694E-1;1,842199898E1;4,490819931E1
2,224035919E1;6,258599758E0;2,526619911E1;4,017459869E1
2,234035919E1;8,405799866E0;2,607139969E1;3,964999771E1
2,244035919E1;5,514400005E0;2,582740021E1;3,957679749E1
2,254035919E1;4,062600136E0;2,566880035E1;4,099200058E1
2,264035919E1;3,818599939E0;1,859280014E1;4,426160049E1
2,274035919E1;3,452600002E0;1,293200016E1;4,676259995E1
2,284035919E1;4,757999897E0;8,210599899E0;4,792160034E1
2,294035919E1;1,793399930E0;8,320400238E0;4,786059952E1
2,304035919E1;-2,452199936E0;1,821459961E1;4,527420044E1
2,314035919E1;-1,512799978E0;2,483919907E1;4,188259888E1
2,324035919E1;1,720199943E0;3,026819992E1;3,746619797E1
2,334035919E1;3,562399864E0;3,330599976E1;3,379399872E1
2,344035919E1;5,709599972E0;3,407460022E1;3,198839951E1
2,354035919E1;1,598199964E0;3,351340103E1;3,341579819E1
2,364035919E1;-4,086999893E0;2,797459984E1;3,852759933E1
2,374035919E1;-2,647399902E0;2,092300034E1;4,370039749E1
2,384035919E1;-2,805999815E-1;1,346879959E1;4,621360016E1
2,394035919E1;-1,207800031E0;1,206579971E1;4,675040054E1
2,404035919E1;-4,562799931E0;1,704339981E1;4,609159851E1
2,414035919E1;-2,805999994E0;2,339959908E1;4,200460052E1
2,424035919E1;1,232200027E0;3,109779930E1;3,731979752E1
2,434035919E1;5,160599709E0;3,538000107E1;3,243980026E1
2,444035919E1;5,685199738E0;3,367200089E1;3,311079788E1
2,454035919E1;1,964200020E0;3,461140060E1;3,487979889E1
2,464035919E1;-1,854399920E0;3,197620010E1;3,677079773E1
2,474035919E1;-1,829999924E0;2,730360031E1;4,061380005E1
2,484035919E1;-2,915799856E0;1,815359879E1;4,438359833E1
2,494035919E1;-2,391200066E0;1,326139927E1;4,671379852E1
2,504035919E1;-4,294399738E0;1,634799957E1;4,592079926E1
2,514035919E1;-6,441599846E0;2,380220032E1;4,327339935E1
2,524035919E1;-3,794199944E0;3,100020027E1;3,730759811E1
2,534035919E1;2,269199848E0;3,591679764E1;3,167119980E1
2,544035919E1;3,391599894E0;3,711240005E1;3,047559929E1
2,554035919E1;1,659199953E0;3,627059937E1;3,250080109E1
2,564035919E1;-1,915399909E0;3,434299850E1;3,430640030E1
2,574035919E1;-5,392399788E0;2,882859993E1;3,863739777E1
2,584035919E1;-3,989399910E0;1,964200020E1;4,512779999E1
2,594035919E1;-2,476599932E0;1,179739952E1;4,732379913E1
2,604035919E1;-5,904799938E0;1,382259941E1;4,704319763E1
2,614035919E1;-7,271199703E0;2,047159958E1;4,334659958E1
2,624035919E1;-4,147999763E0;2,867000008E1;3,845439911E1
2,634035919E1;1,549399972E0;3,284239960E1;3,446500015E1
2,644035919E1;6,173199654E0;3,501399994E1;3,402579880E1
2,654035919E1;4,635999799E-1;3,551419830E1;3,428199768E1
2,664035919E1;-2,537600040E0;3,262279892E1;3,536779785E1
2,674035919E1;-4,757999897E0;2,731579971E1;4,007699966E1
2,684035919E1;-4,489599705E0;1,821459961E1;4,467639923E1
2,694035919E1;-3,074399948E0;1,229759979E1;4,661619949E1
2,704035919E1;-4,940999985E0;1,416419983E1;4,626239777E1
2,714035919E1;-6,600199699E0;2,125239944E1;4,255360031E1
2,724035919E1;-4,526199818E0;2,924339867E1;3,763700104E1
2,734035919E1;1,512799978E0;3,392819977E1;3,291559982E1
2,744035919E1;5,294799805E0;3,579479980E1;3,145159912E1
2,754035919E1;2,317999840E0;3,496519852E1;3,204940033E1
2,764035919E1;-2,427799940E0;3,269599915E1;3,501399994E1
2,774035919E1;-5,465600014E0;2,762080002E1;3,919860077E1
2,784035919E1;-4,611599922E0;1,797060013E1;4,510339737E1
2,794035919E1;-2,915799856E0;1,317599964E1;4,694559860E1
2,804035919E1;-5,990200043E0;1,587220001E1;4,584759903E1
2,814035919E1;-7,283400059E0;2,364360046E1;4,156539917E1
2,824035919E1;-3,684399843E0;3,114659882E1;3,636819839E1
2,834035919E1;4,879999757E-1;3,591679764E1;3,292779922E1
2,844035919E1;8,051999807E-1;3,600220108E1;3,281800079E1
2,854035919E1;-2,964599848E0;3,422100067E1;3,394039917E1
2,864035919E1;-4,831200123E0;3,123199844E1;3,702700043E1
2,874035919E1;-7,527400017E0;2,314340019E1;4,229739761E1
2,884035919E1;-5,733999729E0;1,329799938E1;4,692119980E1
2,894035919E1;-5,172800064E0;1,052859974E1;4,745800018E1
2,904035919E1;-7,527400017E0;1,643339920E1;4,542060089E1
2,914035919E1;-6,380599976E0;2,471719933E1;4,179719925E1
2,924035919E1;-2,049599886E0;3,217139816E1;3,741740036E1
2,934035919E1;2,183799982E0;3,627059937E1;3,212260056E1
2,944035919E1;2,317999840E0;3,518479919E1;3,354999924E1
2,954035919E1;-1,781199932E0;3,314739990E1;3,523360062E1
2,964035919E1;-6,185400009E0;2,785260010E1;3,879599762E1
2,974035919E1;-6,002399921E0;2,077659988E1;4,374919891E1
2,984035919E1;-3,233000040E0;1,317599964E1;4,694559860E1
2,994035919E1;-5,392399788E0;1,210239983E1;4,747019958E1
3,004035919E1;-7,807999611E0;1,866600037E1;4,438359833E1
3,014035919E1;-5,807199955E0;2,727919960E1;3,961339951E1
3,024035919E1;4,635999799E-1;3,387939835E1;3,474559784E1
3,034035919E1;3,989399910E0;3,502619934E1;3,286679840E1
3,044035919E1;4,757999778E-1;3,401359940E1;3,356219864E1
3,054035919E1;-2,684000015E0;3,190299988E1;3,470899963E1
3,064035919E1;-6,441599846E0;2,716939926E1;3,947919846E1
3,074035919E1;-3,696599960E0;1,748259926E1;4,556699753E1
3,084035919E1;-4,367599964E0;1,174860001E1;4,676259995E1
3,094035919E1;-6,295199871E0;1,439599991E1;4,610379791E1
3,104035919E1;-8,479000092E0;2,283839989E1;4,165079880E1
3,114035919E1;-5,380199909E0;3,076840019E1;3,656340027E1
3,124035919E1;1,220000029E0;3,588019943E1;3,120759964E1
3,134035919E1;2,281399965E0;3,602659988E1;2,988999939E1
3,144035919E1;-1,720199943E0;3,402579880E1;3,253739929E1
3,154035919E1;-5,795000076E0;3,070739937E1;3,498960114E1
3,164035919E1;-8,356999397E0;2,487579918E1;3,958900070E1
3,174035919E1;-6,734399796E0;1,555499935E1;4,445679855E1
3,184035919E1;-7,807999611E0;1,174860001E1;4,599399948E1
3,194035919E1;-1,148019981E1;1,656760025E1;4,349300003E1
3,204035919E1;-1,002839947E1;2,492459869E1;3,951580048E1
3,214035919E1;-4,038199902E0;3,196399879E1;3,487979889E1
3,224035919E1;-1,708000004E-1;3,533119965E1;3,135400009E1
3,234035919E1;-1,024799943E0;3,516040039E1;3,193959999E1
3,244035919E1;-6,136600018E0;3,200059891E1;3,457479858E1
3,254035919E1;-8,710800171E0;2,755979919E1;3,927180099E1
3,264035919E1;-7,405399799E0;1,822679901E1;4,402980042E1
3,274035919E1;-5,197199821E0;1,182180023E1;4,704319763E1
3,284035919E1;-8,418000221E0;1,376159954E1;4,686019897E1
3,294035919E1;-1,006499958E1;2,092300034E1;4,279759979E1
3,304035919E1;-6,722199917E0;2,930439949E1;3,794199753E1
3,314035919E1;-1,281000018E0;3,441619873E1;3,346459961E1
3,324035919E1;-6,710000038E-1;3,568499756E1;3,181760025E1
3,334035919E1;-4,538399696E0;3,402579880E1;3,429420090E1
3,344035919E1;-9,015799522E0;2,931659889E1;3,703919983E1
3,354035919E1;-9,467200279E0;2,214299965E1;4,211439896E1
3,364035919E1;-7,490799904E0;1,185839939E1;4,661619949E1
3,374035919E1;-7,393199921E0;9,979599953E0;4,507899857E1
3,384035919E1;-1,054080009E1;1,667740059E1;4,373699951E1
3,394035919E1;-8,588799477E0;2,614459991E1;3,844219971E1
3,404035919E1;-3,428200006E0;3,179319954E1;3,446500015E1
3,414035919E1;9,027999640E-1;3,235440063E1;3,328160095E1
3,424035919E1;-1,427399993E0;3,040239906E1;3,625839996E1
3,434035919E1;-4,306600094E0;2,779159927E1;3,849100113E1
3,444035919E1;-6,953999996E0;2,225279999E1;4,146780014E1
3,454035919E1;-5,746200085E0;1,129720020E1;4,716519928E1
3,464035919E1;-9,369600296E0;1,688479996E1;4,411520004E1
3,474035919E1;-7,783599854E0;2,566880035E1;3,951580048E1
3,484035919E1;-3,025599957E0;3,329380035E1;3,517259979E1
3,494035919E1;9,271999598E-1;3,614859772E1;3,164679909E1
3,504035919E1;-2,488800049E0;3,506279755E1;3,268379974E1
3,514035919E1;-6,636799812E0;3,237879944E1;3,589239883E1
3,524035919E1;-8,491199493E0;2,437559891E1;4,044300079E1
3,534035919E1;-7,698199749E0;1,527439976E1;4,466419983E1
3,544035919E1;-6,002399921E0;1,069939995E1;4,788499832E1
3,554035919E1;-9,235400200E0;1,415199947E1;4,576219940E1
3,564035919E1;-9,345199585E0;2,239920044E1;4,204119873E1
3,574035919E1;-4,245599747E0;3,053660011E1;3,696599960E1
3,584035919E1;1,158999920E0;3,487979889E1;3,278139877E1
3,594035919E1;-1,463999987E0;3,475780106E1;3,354999924E1
3,604035919E1;-3,318399906E0;3,353779984E1;3,451379776E1
3,614035919E1;-7,832399845E0;2,823079872E1;3,795420074E1
3,624035919E1;-9,137800217E0;1,903199959E1;4,305379868E1
3,634035919E1;-5,990200043E0;1,238299942E1;4,573780060E1
3,644035919E1;-8,686399460E0;1,446920013E1;4,437139893E1
3,654035919E1;-9,198800087E0;2,305799866E1;4,062599945E1
3,664035919E1;-4,635999680E0;3,073180008E1;3,472119904E1
3,674035919E1;-4,147999883E-1;3,479439926E1;3,110999870E1
3,684035919E1;-1,073599935E0;3,592900085E1;3,163459969E1
3,694035919E1;-4,684800148E0;3,336700058E1;3,281800079E1
3,704035919E1;-8,539999962E0;2,853579903E1;3,707579803E1
3,714035919E1;-9,284199715E0;2,003240013E1;4,160199738E1
3,724035919E1;-7,063799858E0;1,200479984E1;4,555479813E1
3,734035919E1;-9,076799393E0;1,317599964E1;4,528639984E1
3,744035919E1;-9,528200150E0;2,105719948E1;4,100419998E1
3,754035919E1;-5,624199867E0;2,832839966E1;3,670980072E1
3,764035919E1;-1,500599980E0;3,411119843E1;3,218359756E1
3,774035919E1;-1,097999930E0;3,567279816E1;3,157359886E1
3,784035919E1;-4,196799755E0;3,286679840E1;3,315959930E1
3,794035919E1;-6,966199875E0;3,028039932E1;3,600220108E1
3,804035919E1;-1,007719994E1;2,224059868E1;3,996719742E1
3,814035919E1;-8,222800255E0;1,348099995E1;4,605500031E1
3,824035919E1;-9,271999359E0;1,352979946E1;4,537179947E1
3,834035919E1;-1,144359970E1;2,061800003E1;4,191920090E1
3,844035919E1;-8,722999573E0;2,897500038E1;3,694160080E1
3,854035919E1;-3,074399948E0;3,408679962E1;3,258620071E1
3,864035919E1;9,393999577E-1;3,636819839E1;3,036579895E1
3,874035919E1;-3,940599918E0;3,524580002E1;3,118319893E1
3,884035919E1;-8,198399544E0;3,067079926E1;3,540439987E1
3,894035919E1;-9,808799744E0;2,336299896E1;3,974760056E1
3,904035919E1;-8,710800171E0;1,405439949E1;4,499359894E1
3,914035919E1;-8,613200188E0;1,222439957E1;4,516439819E1
3,924035919E1;-9,418399811E0;1,771439934E1;4,262680054E1
3,934035919E1;-8,308199883E0;2,725479889E1;3,773460007E1
3,944035919E1;-2,244799852E0;3,396479797E1;3,362319946E1
3,954035919E1;1,549399972E0;3,606319809E1;3,124419975E1
3,964035919E1;-7,319999933E-1;3,472119904E1;3,158580017E1
3,974035919E1;-7,429800034E0;3,126859856E1;3,444059753E1
3,984035919E1;-8,783999443E0;2,459519958E1;3,928400040E1
3,994035919E1;-7,454199791E0;1,587220001E1;4,406639862E1
4,004035919E1;-8,515600204E0;1,387139988E1;4,457880020E1
4,014035919E1;-1,166319942E1;1,860499954E1;4,179719925E1
