"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
9,447520356E0;4,025999904E-1;4,776300049E1;7,100399971E0
9,547520356E0;-1,903199911E0;4,795819855E1;7,661599636E0
9,647520356E0;-4,465199947E0;4,773859787E1;1,023579979E1
9,747520356E0;-7,173599720E0;4,654299927E1;1,392019939E1
9,847520356E0;-1,227320004E1;4,017459869E1;2,687660027E1
9,947520356E0;-1,448139954E1;3,588019943E1;3,165899849E1
1,004752036E1;-1,520119953E1;3,673419952E1;3,150039864E1
1,014752036E1;-1,445699978E1;4,023559952E1;2,687660027E1
1,024752036E1;-6,575799942E0;4,738479996E1;1,460339928E1
1,034752036E1;-5,978000164E-1;4,878779984E1;8,356999397E0
1,044752036E1;2,732800007E0;4,937339783E1;4,269999981E0
1,054752036E1;1,329800010E0;4,930019760E1;3,964999914E0
1,064752036E1;-5,807199955E0;4,903179932E1;8,308199883E0
1,074752036E1;-9,991799355E0;4,742139816E1;1,539639950E1
1,084752036E1;-1,254160023E1;4,393219757E1;2,328979874E1
1,094752036E1;-1,351760006E1;3,947919846E1;2,974359894E1
1,104752036E1;-1,337119961E1;4,085779953E1;2,793799973E1
1,114752036E1;-9,479399681E0;4,532299805E1;2,115480042E1
1,124752036E1;-4,111400127E0;4,837299728E1;1,284659958E1
1,134752036E1;9,271999598E-1;4,956859970E1;7,502999783E0
1,144752036E1;8,417999744E-1;4,976379776E1;6,844199657E0
1,154752036E1;-3,001199961E0;4,937339783E1;8,820599556E0
1,164752036E1;-8,052000046E0;4,771419907E1;1,384700012E1
1,174752036E1;-1,144359970E1;4,445679855E1;2,114259911E1
1,184752036E1;-1,389579964E1;3,699039841E1;3,275699997E1
1,194752036E1;-1,361520004E1;3,746619797E1;3,283020020E1
1,204752036E1;-1,112639999E1;4,121159744E1;2,838939857E1
1,214752036E1;-6,392799854E0;4,492039871E1;2,260659981E1
1,224752036E1;7,173599720E0;4,726279831E1;1,348099995E1
1,234752036E1;8,625399590E0;4,646979904E1;1,402999973E1
1,244752036E1;4,965399742E0;4,664059830E1;1,481079960E1
1,254752036E1;1,537199974E0;4,637220001E1;1,772659874E1
1,264752036E1;-5,685199738E0;3,832019806E1;3,015839958E1
1,274752036E1;-7,441999912E0;3,420879745E1;3,408679962E1
1,284752036E1;-8,881599426E0;3,472119904E1;3,252519989E1
1,294752036E1;-9,137800217E0;3,843000031E1;2,649839973E1
1,304752036E1;-2,659600019E0;4,237059784E1;1,088239956E1
1,314752036E1;3,220799923E0;4,193140030E1;8,674200058E0
1,324752036E1;7,173599720E0;4,177280045E1;9,247599602E0
1,334752036E1;7,088200092E0;4,173619843E1;1,045539951E1
1,344752036E1;-1,146799922E0;4,088219833E1;1,914179993E1
1,354752036E1;-5,001999855E0;3,690499878E1;2,787699890E1
1,364752036E1;-6,966199875E0;3,324499893E1;3,428199768E1
1,374752036E1;-8,405799866E0;3,384280014E1;3,467239761E1
1,384752036E1;-3,635599852E0;4,350519943E1;2,266759872E1
1,394752036E1;2,269199848E0;4,638439941E1;1,698239899E1
1,404752036E1;6,941799641E0;4,698220062E1;1,388359928E1
1,414752036E1;6,160999775E0;4,687239838E1;1,470099926E1
1,424752036E1;-3,537999868E0;4,395660019E1;2,374119949E1
1,434752036E1;-4,367599964E0;3,796640015E1;3,258620071E1
1,444752036E1;-4,367599964E0;3,796640015E1;3,258620071E1
1,454752036E1;-4,916599751E0;3,181760025E1;3,871059799E1
1,464752036E1;-5,599800110E0;3,018280029E1;3,872279739E1
1,474752036E1;-3,635599852E0;3,480659866E1;3,445280075E1
1,484752036E1;3,794199944E0;4,150439835E1;2,920679855E1
1,494752036E1;1,467659950E1;4,332220078E1;2,490019989E1
1,504752036E1;1,659199905E1;4,710419846E1;2,163059998E1
1,514752036E1;1,021140003E1;4,881219864E1;2,183799934E1
1,524752036E1;4,160200119E0;4,578659821E1;2,962159920E1
1,534752036E1;1,097999960E-1;3,986959839E1;3,835680008E1
1,544752036E1;-4,062600136E0;3,662440109E1;4,034539795E1
1,554752036E1;-4,867799759E0;3,861299896E1;3,745399857E1
1,564752036E1;-3,452600002E0;4,446899796E1;2,853579903E1
1,574752036E1;3,367199898E0;4,798259735E1;2,181359863E1
1,584752036E1;7,759199619E0;4,800699997E1;1,989819908E1
1,594752036E1;4,184599876E0;4,594519806E1;2,324099922E1
1,604752036E1;1,183400035E0;4,492039871E1;2,597379875E1
1,614752036E1;-2,354599953E0;4,024779892E1;3,220800018E1
1,624752036E1;-3,977200031E0;3,280579758E1;4,051620102E1
1,634752036E1;-3,928400040E0;2,862119865E1;4,351739883E1
1,644752036E1;-5,184999943E0;3,351340103E1;3,902779770E1
1,654752036E1;-2,281399965E0;3,972319794E1;3,208599854E1
1,664752036E1;4,416399956E0;4,471299744E1;2,270419884E1
1,674752036E1;9,296400070E0;4,560359955E1;2,012999916E1
1,684752036E1;7,185800076E0;4,551819992E1;2,161839867E1
1,694752036E1;4,257800102E0;4,546939850E1;2,167939949E1
1,704752036E1;-3,659999967E-1;4,341979980E1;2,638859940E1
1,714752036E1;-4,587199688E0;3,638039780E1;3,545319748E1
1,724752036E1;-6,148799896E0;2,992659950E1;4,218759918E1
1,734752036E1;-5,197199821E0;2,999979973E1;4,108959961E1
1,744752036E1;-3,891799927E0;3,408679962E1;3,695380020E1
1,754752036E1;-2,635200024E0;4,062599945E1;3,062199974E1
1,764752036E1;4,379799843E0;4,406639862E1;2,424139977E1
1,774752036E1;9,296400070E0;4,399319839E1;1,889780045E1
1,784752036E1;1,008939934E1;4,489599991E1;1,643339920E1
1,794752036E1;6,929599762E0;4,424939728E1;1,454239941E1
1,804752036E1;2,854799986E0;4,444459915E1;1,493279934E1
1,814752036E1;-2,183799982E0;4,413959885E1;1,667740059E1
1,824752036E1;-5,685199738E0;4,171179962E1;2,211859894E1
1,834752036E1;-8,637599945E0;3,829579926E1;2,948740005E1
1,844752036E1;-8,906000137E0;3,740520096E1;3,157359886E1
1,854752036E1;-1,088239956E1;3,904000092E1;2,935319901E1
1,864752036E1;-1,050419998E1;4,328559875E1;2,286279869E1
1,874752036E1;-5,624199867E0;4,765319824E1;1,384700012E1
1,884752036E1;-7,929999828E-1;4,951979828E1;9,088999748E0
1,894752036E1;1,207800031E0;4,961739731E1;8,222800255E0
1,904752036E1;-1,842199922E0;4,940999985E1;8,967000008E0
1,914752036E1;-6,990599632E0;4,901959991E1;1,106540012E1
1,924752036E1;-1,095559978E1;4,600619888E1;1,794619942E1
1,934752036E1;-1,479859924E1;4,157759857E1;2,679119873E1
1,944752036E1;-1,811700058E1;3,548979950E1;3,195179939E1
1,954752036E1;-1,881239891E1;3,586800003E1;3,048779869E1
1,964752036E1;-1,715320015E1;4,219979858E1;2,288719940E1
1,974752036E1;-1,267579937E1;4,671379852E1;1,368839931E1
1,984752036E1;-5,489999771E0;4,954420090E1;7,527400017E0
1,994752036E1;-1,329800010E0;5,073979950E1;3,830799818E0
2,004752036E1;-4,221199989E0;4,965399933E1;4,367599964E0
2,014752036E1;-8,112999916E0;4,939780045E1;7,063799858E0
2,024752036E1;-1,435939980E1;4,645759964E1;1,196819973E1
2,034752036E1;-1,659199905E1;4,287080002E1;2,145979881E1
2,044752036E1;-1,837319946E1;3,799079895E1;2,831620026E1
2,054752036E1;-2,038619995E1;3,581919861E1;2,991440010E1
2,064752036E1;-1,862940025E1;4,045520020E1;2,383880043E1
2,074752036E1;-1,387139988E1;4,601839828E1;1,439599991E1
2,084752036E1;-6,953999996E0;4,951979828E1;7,307799816E0
2,094752036E1;-2,317999840E0;5,000779724E1;3,196399927E0
2,104752036E1;-3,830799818E0;4,921479797E1;3,891799927E0
2,114752036E1;-7,844599724E0;4,861700058E1;6,880799770E0
2,124752036E1;-1,361520004E1;4,664059830E1;1,174860001E1
2,134752036E1;-1,965419960E1;4,224860001E1;2,042280006E1
2,144752036E1;-2,099619865E1;3,763700104E1;2,709619904E1
2,154752036E1;-2,089859962E1;3,585580063E1;2,884079933E1
2,164752036E1;-1,901980019E1;4,074800110E1;2,209420013E1
2,174752036E1;-1,407880020E1;4,609159851E1;1,405439949E1
2,184752036E1;-6,343999863E0;4,925139999E1;6,868599892E0
2,194752036E1;-2,134999990E0;4,936119843E1;2,073999882E0
2,204752036E1;-4,013800144E0;4,947100067E1;3,952800035E0
2,214752036E1;-7,075999737E0;4,915379715E1;4,196799755E0
2,224752036E1;-1,282219982E1;4,765319824E1;1,028460026E1
2,234752036E1;-1,657979965E1;4,296839905E1;1,905640030E1
2,244752036E1;-1,677499962E1;3,844219971E1;2,790139961E1
2,254752036E1;-1,881239891E1;3,603879929E1;3,052439880E1
2,264752036E1;-1,870260048E1;3,927180099E1;2,488799858E1
2,274752036E1;-1,349319935E1;4,557920074E1;1,670179939E1
2,284752036E1;-5,294799805E0;4,931240082E1;8,064199448E0
2,294752036E1;-2,256999969E0;4,921479797E1;3,001199961E0
2,304752036E1;-1,585999966E0;4,999559784E1;2,452199936E0
2,314752036E1;-1,281000018E0;4,961739731E1;1,256600022E0
2,324752036E1;1,829999983E-1;4,966619873E1;1,964200020E0
2,334752036E1;2,928000093E-1;4,987360001E1;2,732800007E0
2,344752036E1;1,427399993E0;4,953199768E1;2,378999949E0
2,354752036E1;4,757999897E0;4,937339783E1;9,271999598E-1
2,364752036E1;5,977999687E0;4,873899841E1;-8,295999765E-1
2,374752036E1;6,234200001E0;4,959299850E1;1,305400014E0
2,384752036E1;8,161799431E0;4,866579819E1;1,158999920E0
2,394752036E1;9,528200150E0;4,862919998E1;1,964200020E0
2,404752036E1;1,005280018E1;4,873899841E1;2,098399878E0
2,414752036E1;1,162659931E1;4,892200089E1;1,378600001E0
2,424752036E1;1,268799973E1;4,905619812E1;-3,172000051E-1
2,434752036E1;1,128499985E1;4,995899963E1;-1,390799999E0
2,444752036E1;1,121179962E1;5,058119965E1;-1,000399947E0
2,454752036E1;1,123619938E1;5,089839935E1;-2,134999990E0
2,464752036E1;1,089459991E1;5,194759750E1;-4,660399914E0
2,474752036E1;9,052399635E0;5,253319931E1;-7,014999866E0
2,484752036E1;8,881599426E0;5,313100052E1;-7,356599808E0
2,494752036E1;9,406199455E0;5,320420074E1;-8,320400238E0
2,504752036E1;9,394000053E0;5,471699905E1;-7,222399712E0
2,514752036E1;7,210199833E0;5,481459808E1;-8,112999916E0
2,524752036E1;6,160999775E0;5,476580048E1;-8,954799652E0
2,534752036E1;6,429399967E0;5,581499863E1;-6,282999992E0
2,544752036E1;7,685999870E0;5,604679871E1;-2,269199848E0
2,554752036E1;8,112999916E0;5,629079819E1;-1,586000025E-1
2,564752036E1;6,051199913E0;5,668119812E1;-3,781999946E-1
2,574752036E1;5,124000072E0;5,701059723E1;-6,466000080E-1
2,584752036E1;3,977200031E0;5,694960022E1;-1,720199943E0
2,594752036E1;5,124000072E0;5,681539917E1;-4,074800014E0
2,604752036E1;4,013800144E0;5,749860001E1;-3,879599810E0
2,614752036E1;1,476199985E0;5,692519760E1;-3,842999935E0
2,624752036E1;-2,073999941E-1;5,676659775E1;-5,160599709E0
2,634752036E1;2,098399878E0;5,693739700E1;-3,977200031E0
2,644752036E1;4,404200077E0;5,704719925E1;-1,829999924E0
2,654752036E1;5,660799980E0;5,714479828E1;-2,073999882E0
2,664752036E1;5,428999901E0;5,676659775E1;-3,001199961E0
2,674752036E1;5,526599884E0;5,665679932E1;-3,757599831E0
2,684752036E1;3,989399910E0;5,707159805E1;-3,379400015E0
2,694752036E1;3,025599957E0;5,658359909E1;-4,562799931E0
2,704752036E1;3,440399885E0;5,659579849E1;-4,330999851E0
2,714752036E1;3,233000040E0;5,665679932E1;-5,038599968E0
2,724752036E1;2,684000015E0;5,613219833E1;-4,904399872E0
2,734752036E1;2,549799919E0;5,572959900E1;-6,697799683E0
2,744752036E1;1,110199928E0;5,604679871E1;-6,819799900E0
2,754752036E1;7,320000231E-2;5,618099976E1;-7,246799946E0
2,764752036E1;5,733999610E-1;5,586380005E1;-6,490399837E0
2,774752036E1;1,000399947E0;5,587599945E1;-6,624599934E0
2,784752036E1;1,537199974E0;5,615659714E1;-6,197599888E0
2,794752036E1;1,439599991E0;5,626639938E1;-5,563199997E0
2,804752036E1;1,439599991E0;5,625419998E1;-5,685199738E0
2,814752036E1;1,342000008E0;5,652259827E1;-5,624199867E0
2,824752036E1;2,269199848E0;5,620539856E1;-5,245999813E0
2,834752036E1;2,378999949E0;5,627859879E1;-5,587599754E0
2,844752036E1;1,878799915E0;5,670560074E1;-5,599800110E0
2,854752036E1;2,281399965E0;5,657139969E1;-4,672599792E0
2,864752036E1;2,269199848E0;5,619319916E1;-5,611999989E0
2,874752036E1;2,073999882E0;5,652259827E1;-6,124399662E0
2,884752036E1;2,415600061E0;5,691299820E1;-4,953199863E0
2,894752036E1;1,890999913E0;5,680319977E1;-5,209399700E0
2,904752036E1;2,098399878E0;5,688859940E1;-5,563199997E0
2,914752036E1;1,866599917E0;5,644939804E1;-5,294799805E0
2,924752036E1;2,073999882E0;5,644939804E1;-5,538799763E0
2,934752036E1;2,183799982E0;5,644939804E1;-5,782799721E0
2,944752036E1;1,744599938E0;5,625419998E1;-5,941400051E0
2,954752036E1;1,964200020E0;5,644939804E1;-5,660799980E0
2,964752036E1;2,476599932E0;5,610779953E1;-5,514400005E0
2,974752036E1;2,244799852E0;5,583939743E1;-5,807199955E0
2,984752036E1;2,061800003E0;5,618099976E1;-5,599800110E0
2,994752036E1;2,037400007E0;5,592479706E1;-5,416800022E0
3,004752036E1;2,464400053E0;5,599799728E1;-6,136600018E0
3,014752036E1;2,781599998E0;5,611999893E1;-5,270400047E0
3,024752036E1;3,110999823E0;5,638839722E1;-5,465600014E0
3,034752036E1;3,330600023E0;5,655920029E1;-5,538799763E0
3,044752036E1;2,818199873E0;5,662019730E1;-6,002399921E0
3,054752036E1;4,184599876E0;5,675439835E1;-5,636399746E0
3,064752036E1;4,818999767E0;5,683979797E1;-5,880399704E0
3,074752036E1;5,124000072E0;5,669339752E1;-5,319200039E0
3,084752036E1;5,782799721E0;5,724239731E1;-4,721399784E0
