"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
1,818159700E-2;-2,559525371E-1;-1,380555511E0;-1,282816976E-1
8,396239200E-2;-9,483683109E-2;-1,317178130E0;3,451388776E-1
1,839623920E-1;-8,949175477E-2;-1,137736559E0;-5,158756971E-1
2,839623920E-1;-3,168863356E-1;-1,124144793E0;-4,552473128E-1
3,839623920E-1;-1,178359032E0;-1,322370529E0;1,420261711E-2
4,839623920E-1;-9,876163602E-1;-3,935499489E-1;7,961101532E-1
5,839623920E-1;1,725694388E-1;2,431243658E-1;1,245859623E0
6,839623920E-1;-8,958339095E-1;6,333145499E-1;1,356884480E0
7,839623920E-1;-1,260215044E0;1,513418704E-1;7,000515461E-1
8,839623920E-1;-1,470047235E0;-1,959350228E0;1,399950385E0
9,839623920E-1;-2,073123932E0;-3,135571241E0;3,356399059E0
1,083962392E0;2,523331642E0;-5,891795158E0;6,033668518E0
1,183962392E0;1,440878391E0;-4,421137333E0;5,319414616E0
1,283962392E0;-2,339766502E0;2,325869352E-1;1,513571382E0
1,383962392E0;-5,364924073E-1;1,974469185E0;1,807092071E0
1,483962392E0;8,642216325E-1;2,089770079E0;1,485471606E0
1,583962392E0;1,273195863E0;7,426594496E-1;5,658139586E-1
1,683962392E0;9,193521738E-1;2,357328892E0;-2,640312195E0
1,783962392E0;-1,841911435E0;2,414444834E-1;-4,101807594E0
1,883962392E0;2,916881628E-2;-3,359758761E-3;-4,166711807E0
1,983962392E0;3,633120954E-1;-1,526094079E0;-2,950173616E0
2,083962392E0;4,506658316E-1;-1,079398870E0;-1,368338108E0
2,183962392E0;-6,543893814E-1;5,514585972E-1;-8,141306639E-1
2,283962392E0;-1,241736293E0;2,041969776E0;1,488373160E0
2,383962392E0;-2,803413391E0;3,359606028E0;-2,299144030E0
2,483962392E0;-3,693749428E0;1,800372601E0;-5,793904305E0
2,583962392E0;2,967278063E-1;4,069278717E0;-1,491122007E0
2,683962392E0;-7,087563872E-1;3,041192532E0;-2,626415014E0
