"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
8,943855527E0;-1,720619202E-1;2,853567839E0;-1,353526115E-1
9,042513031E0;4,652118683E-2;8,429841995E-1;-1,149316788E0
9,141199465E0;-1,676633358E-1;-5,166282654E-1;6,503801346E-1
9,239869196E0;-1,590309143E-1;-1,400222778E-1;-2,193483829E0
9,338543423E0;4,724025726E-2;4,602632523E-1;-4,288136959E-1
9,437200611E0;9,655282497E-1;-2,694849968E0;-2,803292274E-1
9,535865256E0;2,370467186E-1;-4,102363586E-1;2,261896133E-1
9,634560430E0;-1,601648331E-1;5,669488907E-1;-2,692136765E-1
9,733228564E0;-1,154279709E-1;-1,952266693E-2;9,287452698E-2
9,831903096E0;-1,695413589E-1;-1,499855518E-1;1,347684860E-2
9,930575146E0;-2,039690495E0;2,759244204E0;2,399271488E0
1,002923870E1;-1,772086382E0;5,005314350E0;1,055251598E0
1,012792279E1;1,638471603E0;-5,384945869E-1;-8,483433723E-1
1,022659443E1;-1,362031221E0;-9,096431732E-2;2,004189491E-1
1,032526685E1;1,283563375E0;-2,831270218E0;-2,002988100E0
1,042393841E1;1,591446161E0;-6,245555878E-1;-1,286803961E0
1,052259026E1;1,100177288E0;-8,439083099E-1;-6,621146202E-1
1,062127133E1;1,535298824E0;-1,981879711E0;-2,919492722E0
1,071995561E1;-5,524511337E-1;-1,288371563E0;2,591425180E0
1,081862911E1;-1,521460056E0;4,500770569E-2;1,361534119E0
1,091728868E1;-1,733252764E0;1,656391382E0;1,445960522E0
1,101596109E1;-1,374092340E0;3,465163946E0;2,100016117E0
1,111464145E1;1,292188883E0;-4,163074493E-2;2,914886475E-1
1,121329068E1;3,925881147E0;-4,771882057E0;-4,713213921E0
1,131199050E1;1,864804983E0;2,457971573E-1;-1,377577782E-1
1,141066391E1;-1,660709381E-1;-1,670263290E0;-1,440034151E0
1,150932215E1;3,939189911E-1;-1,984417439E0;-1,842054367E0
1,160800700E1;-7,259788513E-1;-1,053690434E0;3,756318092E-1
1,170668245E1;-8,565306664E-1;-1,777080059E0;-1,293670177E0
1,180535783E1;-3,838081360E0;5,858321190E-1;3,209124088E0
1,190402438E1;-3,368310690E0;5,669759274E0;1,213359833E0
1,200268602E1;1,377048492E0;-9,817519188E-1;-3,132667065E0
1,210135862E1;5,898618698E-1;2,417304039E0;-1,178516388E0
1,220004283E1;-1,070852280E-1;4,417991638E-1;-1,904690027E0
1,229871666E1;3,967361212E0;-5,006510735E0;-1,639767170E0
1,239738618E1;2,993891239E-1;1,041078568E0;1,609620333E0
1,249604549E1;-3,737776279E-1;-1,861857414E0;1,896300793E0
1,259474327E1;1,053172588E0;-4,044408798E-1;1,771185875E0
1,269340314E1;-2,686684132E0;1,614097834E0;4,399715424E0
1,279208278E1;-2,501966238E0;1,530478477E0;1,240127563E0
1,289074526E1;-1,814611673E0;7,318329811E-1;2,522249222E0
1,298941056E1;9,080722332E-1;-1,635217667E-1;6,354148388E-1
1,308808412E1;1,301477194E0;-1,967149734E0;-1,165486574E0
1,318676831E1;1,260056257E0;-2,739022255E0;-1,656594515E0
1,328544092E1;7,727007866E-1;-1,210768700E0;-3,566923141E-1
1,338411104E1;8,806705475E-3;-1,334450245E0;-4,725170135E-1
1,348277138E1;4,555606842E-2;-1,803818703E0;1,108773232E0
1,358145819E1;-6,174424171E0;1,660977006E0;1,550329208E0
1,368012917E1;-3,802353144E0;4,409156799E0;3,318691492E0
1,377880280E1;-1,145289421E0;5,380916595E-2;-9,151353836E-1
1,387746525E1;2,831979036E0;-6,271982193E0;-5,336199284E0
1,397612549E1;1,222179174E0;1,385889053E-1;-1,557149410E0
1,407480861E1;-4,842259884E-1;-2,386013985E0;-1,695105076E0
1,417349195E1;3,203141689E0;-8,010251045E0;-2,985009670E0
1,427216117E1;-1,676531315E0;1,714024305E0;4,018376827E0
1,437083485E1;-2,093693495E0;-3,068877697E0;4,138208389E0
1,446949618E1;-2,512345791E0;3,482191086E0;-1,415028572E0
1,456820199E1;-1,896008730E0;2,955825806E0;2,309024096E0
1,466686118E1;-3,605384827E-1;-9,400367737E-1;1,334456444E0
1,476553400E1;5,544297695E-1;-3,533833504E0;-2,804098606E0
1,486420211E1;2,656630039E0;-1,649606705E0;-4,295197487E0
1,496286184E1;-7,620184422E-1;-1,361226082E0;-2,222637415E0
1,506156588E1;1,617339611E0;-2,500873566E0;-1,649147034E0
1,516022252E1;-2,415671349E-1;-6,132502556E-1;2,101969242E0
1,525892248E1;2,071061134E-1;-2,818272591E0;3,685474396E-2
1,535756219E1;-3,979592323E0;5,129825592E0;4,678902149E0
1,545622146E1;6,869959831E-1;-2,862930298E-3;-7,012863159E-1
1,555492958E1;7,487297058E-2;7,223320007E-1;1,453123093E-1
1,565361040E1;1,713547468E0;-1,627115250E0;3,776044846E-1
1,575223218E1;2,185855389E0;-4,521648407E0;-2,756163597E0
1,585093980E1;-2,988839149E-1;-6,765298843E-1;-3,723869324E-1
1,594957698E1;2,506419420E0;-6,361227036E-1;1,205738544E0
1,604830124E1;2,222504616E0;-1,663951397E0;1,317714214E0
1,614694424E1;-7,469232082E-1;4,725377560E-1;3,213925838E0
1,624563533E1;-5,060534477E0;5,210322857E0;1,236807346E0
1,634429687E1;1,554081440E0;2,521347046E0;2,416554928E0
1,644292808E1;1,840769529E0;-1,472043514E0;2,046392918E0
1,654165982E1;8,626008034E-1;-2,446039677E0;6,308221817E-2
1,664032776E1;2,717987299E0;-1,644666672E0;-1,151561737E-1
1,673902162E1;4,108238220E-1;-1,331302166E0;2,531673908E0
1,683765503E1;1,625032663E0;-1,290182590E0;3,327199221E0
1,693630575E1;3,703719139E0;-2,879108429E0;8,306436539E-1
1,703504934E1;8,478889465E-1;-1,296689510E0;1,946438789E0
1,713368674E1;5,553923607E0;1,713424325E0;-8,887678146E0
1,723235982E1;-6,414234161E0;1,753892183E0;4,555721760E0
1,733100950E1;-3,707022667E-1;6,489851475E-1;3,847927094E0
1,742966693E1;-9,069886208E-1;1,889316082E0;2,088696957E0
1,752838414E1;8,259415627E-2;6,222829819E-1;2,094568014E0
1,762705296E1;3,541735172E0;-2,057291031E0;1,696518421E0
1,772569845E1;2,304004192E0;5,083007812E-1;4,017399788E0
1,782440296E1;4,652217388E0;-6,386732578E0;-5,943918228E0
1,792302539E1;6,728661060E-1;-3,584242344E0;2,085726738E0
1,802174690E1;3,957441568E0;-3,412027359E-1;1,582593918E-1
1,812038454E1;2,081391573E0;-1,281578541E0;2,073084831E0
1,821904713E1;1,427449942E0;-1,020776749E0;2,168377399E0
1,831772377E1;-5,146285057E0;2,733700275E-1;6,303287029E0
1,841639246E1;-2,168071270E-1;-2,664107323E0;-1,050969124E0
1,851510495E1;-1,802665710E0;2,999338150E0;5,933961868E-1
1,861377538E1;3,719058990E0;1,772101402E0;3,691129684E0
1,871240067E1;1,112663269E0;-7,115255356E0;2,068471909E-1
1,881113234E1;-1,255803108E0;-4,370082855E0;8,812499046E-1
