"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
6,340386900E-2;-4,173082829E0;2,923431158E0;9,163912773E0
1,291845200E-1;-3,189034462E0;4,677968502E0;9,240483284E0
2,291845200E-1;-2,060818434E0;3,346362352E0;9,780064583E0
3,291845200E-1;-1,409372568E0;2,886940479E0;8,819346428E0
4,291845200E-1;-5,431707501E-1;2,588435888E0;9,230911255E0
5,291845200E-1;-9,326026440E-1;1,261615753E0;8,864809990E0
6,291845200E-1;3,373879790E-1;7,441678643E-1;6,102894306E0
7,291845200E-1;8,853443712E-2;6,586244106E-1;6,773482800E0
8,291845200E-1;9,098708034E-1;-2,209173441E0;8,109275818E0
9,291845200E-1;5,160720348E0;-8,622536659E0;1,044945621E1
1,029184520E0;6,830910206E0;-1,011027431E1;9,169894218E0
1,129184520E0;1,417448330E1;-5,935396671E0;4,987240791E0
1,229184520E0;8,467600822E0;-8,659027100E0;3,802793503E0
1,329184520E0;1,510469317E0;-8,231309891E0;8,275577545E0
1,429184520E0;1,591227055E0;-8,801998138E0;7,586444378E0
1,529184520E0;2,973680258E0;-1,066959572E1;4,452444553E0
1,629184520E0;2,075175524E0;-7,740182877E0;6,238687038E0
1,729184520E0;-1,095912814E0;-7,596613884E0;-3,918247223E-1
1,829184520E0;3,470191002E0;-9,157930374E0;6,648457527E0
1,929184520E0;4,127020836E0;-5,408377171E0;-1,758724689E0
2,029184520E0;9,921240807E0;-6,726224422E0;4,607379913E0
2,129184520E0;5,506483078E0;-7,344171047E0;2,938386202E0
2,229184520E0;6,597012043E0;-6,406782627E0;6,251847267E0
2,329184520E0;6,413960934E0;-5,327021599E0;6,211169243E0
2,429184520E0;1,065882874E1;-1,359123230E0;9,236295223E-1
2,529184520E0;1,067318535E1;-7,048058987E0;9,145368576E0
2,629184520E0;5,549553871E0;-4,329214573E0;8,513064384E0
2,729184520E0;4,002593994E0;-3,863212109E0;5,241477966E0
2,829184520E0;3,327818155E0;-5,264210105E-1;4,503292084E0
2,929184520E0;2,182852507E0;-3,726821244E-1;7,770691395E0
3,029184520E0;-1,567897081E0;-3,061616659E0;5,658427238E0
3,129184520E0;-1,432702541E0;-1,145743275E1;7,244270325E0
3,229184520E0;4,335794449E0;-1,230927753E1;5,443671703E0
3,329184520E0;7,360920429E0;-1,036750221E1;6,999006271E-1
3,429184520E0;1,630947876E1;-4,058825493E0;8,201997757E0
3,529184520E0;9,440881729E0;-6,987640381E0;5,449653625E0
3,629184520E0;3,037688255E0;-6,105287075E0;-1,028315544E0
3,729184520E0;-4,857429862E-1;-1,274776268E1;1,838286042E0
3,829184520E0;5,155336380E0;-8,319246292E0;5,255835056E0
3,929184520E0;5,062614441E0;-9,645467758E0;4,013959885E0
4,029184520E0;4,223331928E0;-8,146963120E0;3,944568157E0
4,129184520E0;3,554538012E0;-1,652244091E0;8,895317912E-1
4,229184520E0;3,403790236E0;-9,410373688E0;5,854638577E0
4,329184520E0;3,729214191E0;-5,818148136E0;1,417149186E0
4,429184520E0;1,390289783E1;-1,248515034E1;6,281159073E-2
4,529184520E0;1,145264721E1;-2,285145521E0;5,700899959E-1
4,629184520E0;2,420340061E0;-9,673583984E0;4,520041943E0
4,729184520E0;9,500701904E0;-6,117250919E0;1,262213886E-1
4,829184520E0;6,244070530E0;-5,711667538E0;-4,899304509E-1
4,929184520E0;3,742972851E0;-7,411767960E0;1,532602906E0
5,029184520E0;-1,723430514E0;-4,850849628E0;2,129014015E0
5,129184520E0;-6,538388133E-1;-1,193599796E1;2,506481707E-1
5,229184520E0;-8,021938205E-1;-9,754341125E0;1,928016901E0
5,329184520E0;-1,777867198E0;-9,936196327E0;1,325025558E0
5,429184520E0;-2,825325251E0;-1,140000534E1;2,329412937E0
5,529184520E0;2,340778828E0;-1,321615791E1;-3,594617844E0
5,629184520E0;-2,256431818E0;-8,855836868E0;-3,270390272E0
5,729184520E0;-4,609772682E0;-1,141077328E1;-3,745963812E0
5,829184520E0;-5,873781204E0;-9,225527763E0;-2,786442041E0
5,929184520E0;-3,903890133E0;-2,106282234E0;-5,908477306E0
6,029184520E0;-4,641477585E0;-6,400800347E-1;-5,312664509E0
6,129184520E0;-4,049852371E0;9,786644578E-1;-5,140381336E0
6,229184520E0;-3,516851187E0;-4,325026870E-1;-6,882356167E0
6,329184520E0;-4,407579422E0;-3,929612875E0;-7,475177765E0
6,429184520E0;-2,378465652E0;-5,654240131E0;-9,231510162E0
6,529184520E0;-3,084946632E0;-5,714658737E0;-9,385847092E0
6,629184520E0;-2,699103832E0;-5,250451088E0;-7,074978352E0
6,729184520E0;-1,293918848E0;-6,209972858E0;-1,015095139E1
6,829184520E0;-8,739784956E-1;-5,742176056E0;-8,117650986E0
6,929184520E0;1,077368379E0;-2,965903759E0;-7,239484787E0
7,029184520E0;1,831705689E0;-3,729812384E0;-9,028120041E0
7,129184520E0;2,205584288E0;-2,690729141E0;-6,799205780E0
7,229184520E0;4,147359848E0;-1,014556766E0;-7,414160728E0
7,329184520E0;3,576671600E0;-4,487140656E0;-8,008178711E0
7,429184520E0;4,278964996E0;-5,029115200E0;-8,331210136E0
7,529184520E0;3,979862213E0;-3,426522017E0;-6,795616150E0
7,629184520E0;4,098905087E0;-6,434898376E0;-7,018746853E0
7,729184520E0;4,801198483E0;-7,170093060E0;-7,220940590E0
7,829184520E0;2,257030010E0;-6,366104603E0;-3,034099102E0
7,929184520E0;1,454836130E0;-1,070309544E1;-3,984049797E0
8,029184520E0;1,603789330E0;-8,328219414E0;-3,969692707E0
8,129184520E0;2,882154942E0;-8,545368195E0;-2,996412039E0
8,229184520E0;3,680759430E0;-8,073982239E0;-4,993820667E0
8,329184520E0;4,735994339E0;-7,956733704E0;-4,426123619E0
8,429184520E0;5,694319725E0;-5,856433392E0;-6,518647194E0
8,529184520E0;6,963113785E0;-5,453841209E0;-7,695915699E0
8,629184520E0;2,734398127E0;-6,551548481E0;-5,665007591E0
8,729184520E0;1,455434322E0;-5,018347263E0;-5,405386448E0
8,829184520E0;3,738187075E0;-2,441875458E0;-7,454240799E0
8,929184520E0;4,742574692E0;-3,019144058E0;-6,293123722E0
9,029184520E0;4,981856823E0;-6,649055958E0;-6,276373863E0
9,129184520E0;4,156930923E0;-7,462615490E0;-6,384648800E0
9,229184520E0;4,546362877E0;-8,815158844E0;-4,838885784E0
9,329184520E0;3,191427231E0;-9,422337532E0;-5,341378212E0
9,429184520E0;2,819941521E0;-8,901898384E0;-4,228715897E0
9,529184520E0;5,728417397E0;-1,077308559E1;-5,368297577E0
9,629184520E0;4,369892120E0;-6,661019802E0;-4,293322086E0
9,729184520E0;4,244867325E0;-6,611967087E0;-5,304289818E0
9,829184520E0;4,564907551E0;-7,170093060E0;-7,333403111E0
9,929184520E0;3,501895905E0;-3,130410194E0;-4,871787071E0
1,002918452E1;2,638685226E0;-2,515454769E0;-6,285944939E0
1,012918452E1;5,155934811E0;-6,610172749E0;-6,145965099E0
1,022918452E1;5,110470772E0;-8,365905762E0;-6,458826542E0
1,032918452E1;3,832703590E0;-1,053739262E1;-5,140979290E0
1,042918452E1;4,009772778E0;-1,102672482E1;-6,720242500E0
1,052918452E1;3,656233072E0;-8,224131584E0;-4,578666210E0
1,062918452E1;5,922834396E0;-1,066361427E1;-5,215157032E0
1,072918452E1;4,654638290E0;-7,473383427E0;-4,464408875E0
1,082918452E1;3,625724554E0;-5,873781204E0;-5,447260857E0
1,092918452E1;2,648854733E0;-2,694318295E0;-6,107081413E0
1,102918452E1;2,923431158E0;-2,361117840E0;-5,853442192E0
1,112918452E1;4,245465755E0;-5,720042706E0;-4,743172646E0
1,122918452E1;4,235894203E0;-9,743574142E0;-5,630909920E0
1,132918452E1;4,590032101E0;-9,891330719E0;-5,545366287E0
1,142918452E1;2,575873613E0;-9,535398483E0;-4,598406792E0
1,152918452E1;3,733401537E0;-9,565906525E0;-5,160121918E0
1,162918452E1;5,506483078E0;-8,519046783E0;-6,223731518E0
1,172918452E1;4,702494621E0;-6,217749596E0;-7,498507977E0
1,182918452E1;2,585444927E0;-4,155734539E0;-5,419145107E0
1,192918452E1;1,697109461E0;-2,207378894E-1;-4,554738045E0
1,202918452E1;4,426123619E0;-4,742574692E0;-5,734997749E0
1,212918452E1;4,204787731E0;-6,565905571E0;-5,221737385E0
1,222918452E1;3,996612072E0;-1,031186962E1;-5,471786976E0
1,232918452E1;6,642475605E0;-1,230389404E1;-6,417550564E0
1,242918452E1;4,574478626E0;-9,366703987E0;-5,175076962E0
1,252918452E1;4,506881237E0;-8,678768158E0;-4,466203690E0
1,262918452E1;4,454837322E0;-5,838487148E0;-5,723631859E0
1,272918452E1;2,536391973E0;-2,956332445E0;-4,402195454E0
1,282918452E1;2,488535643E0;-2,800200701E0;-4,137190342E0
1,292918452E1;2,494517565E0;-4,368097782E0;-3,688536167E0
1,302918452E1;5,533402443E0;-1,102911758E1;-6,156732559E0
1,312918452E1;5,597410202E0;-1,203410339E1;-5,679364681E0
1,322918452E1;3,604787350E0;-1,100160027E1;-6,201598167E0
1,332918452E1;4,383651257E0;-9,324232101E0;-4,933402061E0
1,342918452E1;4,198805332E0;-6,227919102E0;-4,813162804E0
1,352918452E1;4,206582069E0;-5,816353798E0;-5,785845280E0
1,362918452E1;1,040877819E0;-2,068595171E0;-4,804189682E0
1,372918452E1;1,222134113E0;2,189432681E-1;-3,470789194E0
1,382918452E1;4,596014023E0;-8,103293419E0;-4,866403103E0
1,392918452E1;5,757729530E0;-1,340758324E1;-7,517650604E0
1,402918452E1;3,808177233E0;-8,762516975E0;-5,337191105E0
