"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
5,535914898E-1;5,235273186E1;4,889902482E0;-1,188087463E-1;0,000000000E0;9,281250000E1;4,177896685E0;4,000000000E0
1,553582549E0;5,235273236E1;4,889910277E0;-1,138687134E-2;0,000000000E0;9,281250000E1;3,535533906E0;3,000000000E0
2,553576946E0;5,235273190E1;4,889912708E0;-3,241920471E-1;0,000000000E0;9,281250000E1;3,535533906E0;3,000000000E0
3,553573966E0;5,235273161E1;4,889916480E0;-1,272315979E-1;0,000000000E0;9,281250000E1;3,535533906E0;3,000000000E0
4,553569674E0;5,235273111E1;4,889918324E0;-1,341896057E-1;0,000000000E0;9,281250000E1;3,535533906E0;3,000000000E0
5,553568125E0;5,235273203E1;4,889921006E0;1,875877380E-1;0,000000000E0;9,281250000E1;3,535533906E0;3,000000000E0
6,553568363E0;5,235273203E1;4,889921006E0;1,875878051E-1;0,000000000E0;NaN;4,610615393E0;3,544963008E0
7,553567648E0;5,235273190E1;4,889921844E0;2,285391837E-2;0,000000000E0;NaN;4,610615393E0;3,544963008E0
8,553570509E0;5,235273115E1;4,889922850E0;6,911856681E-2;0,000000000E0;NaN;4,610615391E0;3,544963011E0
9,553565264E0;5,235273073E1;4,889923520E0;1,163597777E-1;0,000000000E0;NaN;4,610615389E0;3,544963013E0
1,055356109E1;5,235272826E1;4,889936345E0;4,237328265E-1;0,000000000E0;NaN;4,610615380E0;3,544963025E0
1,155356181E1;5,235272273E1;4,889976501E0;7,653467227E-1;1,279999971E0;1,008984521E2;4,610615361E0;3,544963050E0
1,255356157E1;5,235272424E1;4,890002215E0;7,265283996E-1;1,450000048E0;9,070314185E1;4,610615356E0;3,544963056E0
1,355355835E1;5,235272519E1;4,890021805E0;8,723413888E-1;1,450000048E0;8,226564170E1;4,610615351E0;3,544963062E0
1,455355680E1;5,235272702E1;4,890033614E0;5,980493370E-1;1,159999967E0;7,136720027E1;4,610615351E0;3,544963063E0
1,555355346E1;5,235272825E1;4,890053698E0;5,953637902E-1;1,159999967E0;7,488282551E1;4,610615350E0;3,544963064E0
1,655355024E1;5,235272880E1;4,890075136E0;6,805078378E-1;1,190000057E0;7,804688853E1;4,610615347E0;3,544963068E0
1,755354762E1;5,235272984E1;4,890091888E0;1,240932613E0;1,019999981E0;7,523438646E1;4,286611743E0;4,066591945E0
1,855354416E1;5,235272808E1;4,890115310E0;1,200466344E0;1,240000010E0;8,226563928E1;4,286611706E0;4,066591964E0
