"Time (s)";"X (hPa)"
2,108538903E2;1,008787384E3
2,119266173E2;1,008787384E3
2,129993263E2;1,008786850E3
2,140720413E2;1,008781357E3
2,151447913E2;1,008780060E3
2,162174913E2;1,008777542E3
2,172902123E2;1,008776855E3
2,183629243E2;1,008777542E3
2,194356453E2;1,008782425E3
2,205083453E2;1,008787842E3
2,215810473E2;1,008791504E3
2,226537903E2;1,008794403E3
2,237265293E2;1,008798447E3
2,247992703E2;1,008798828E3
2,258719853E2;1,008798447E3
2,269447403E2;1,008798370E3
2,280175203E2;1,008794785E3
2,290902993E2;1,008790436E3
2,301630723E2;1,008784103E3
2,312358793E2;1,008777161E3
2,323086703E2;1,008772888E3
2,333814163E2;1,008769760E3
2,344541903E2;1,008769379E3
2,355269863E2;1,008769379E3
2,365997743E2;1,008769379E3
2,376725803E2;1,008766632E3
2,387453963E2;1,008766632E3
2,398181683E2;1,008766403E3
2,408909703E2;1,008766022E3
2,419637333E2;1,008766022E3
2,430365103E2;1,008767471E3
2,441093193E2;1,008768311E3
2,451821093E2;1,008772354E3
2,462548753E2;1,008776703E3
2,473276803E2;1,008778610E3
2,484005073E2;1,008778610E3
2,494733893E2;1,008777390E3
2,505462423E2;1,008773727E3
2,516190923E2;1,008769760E3
2,526919303E2;1,008764496E3
2,537647053E2;1,008764496E3
2,548375033E2;1,008764267E3
2,559103223E2;1,008761749E3
2,569831333E2;1,008761749E3
2,580559523E2;1,008762131E3
2,591287403E2;1,008762970E3
2,602015393E2;1,008764725E3
2,612743603E2;1,008767853E3
2,623471483E2;1,008768082E3
2,634199713E2;1,008769608E3
2,644927813E2;1,008768082E3
2,655655483E2;1,008767700E3
2,666383543E2;1,008767242E3
2,677111873E2;1,008767242E3
2,687839813E2;1,008767014E3
2,698567903E2;1,008763504E3
2,709296223E2;1,008760529E3
2,720024503E2;1,008750992E3
2,730753233E2;1,008740463E3
2,741481563E2;1,008734589E3
2,752209893E2;1,008722839E3
2,762938263E2;1,008717346E3
2,773666583E2;1,008717346E3
2,784394373E2;1,008721313E3
2,795122903E2;1,008724976E3
2,805852073E2;1,008732986E3
2,816580843E2;1,008742142E3
2,827308913E2;1,008750000E3
2,838037233E2;1,008755646E3
2,848765403E2;1,008759689E3
2,859493683E2;1,008766327E3
2,870222113E2;1,008766861E3
2,880950133E2;1,008767624E3
2,891678393E2;1,008766861E3
2,902406323E2;1,008764725E3
2,913134423E2;1,008760223E3
2,923862443E2;1,008754654E3
2,934590363E2;1,008751297E3
2,945318353E2;1,008748932E3
2,956046713E2;1,008744736E3
2,966774493E2;1,008744736E3
2,977502603E2;1,008746643E3
2,988230513E2;1,008748932E3
2,998958713E2;1,008750229E3
3,009687173E2;1,008751831E3
3,020414863E2;1,008751831E3
3,031142753E2;1,008749390E3
3,041870373E2;1,008746643E3
3,052598573E2;1,008744507E3
3,063326913E2;1,008744507E3
3,074054933E2;1,008744736E3
3,084783113E2;1,008745956E3
3,095511253E2;1,008750229E3
3,106239173E2;1,008753357E3
3,116967453E2;1,008756332E3
3,127695783E2;1,008758850E3
3,138424433E2;1,008761139E3
3,149152793E2;1,008761292E3
3,159880993E2;1,008761292E3
3,170609343E2;1,008758392E3
3,181337333E2;1,008758392E3
