"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
5,875545833E-2;-1,651198578E1;-1,572079468E1;-4,779431152E1
1,592534583E-1;-1,905939484E1;-1,043640518E1;-4,700103760E1
2,597514583E-1;-2,021092987E1;-2,740455627E0;-4,559349060E1
3,602494583E-1;-1,793155670E1;7,005386353E-1;-4,483918762E1
4,607474583E-1;-1,607514191E1;1,646614075E0;-4,309341431E1
5,612454583E-1;-1,568894196E1;-1,041671753E0;-4,161659241E1
6,617434583E-1;-2,011891937E1;-5,161399841E0;-3,773963928E1
7,622419167E-1;-3,191036224E1;-7,048793793E0;-2,565060425E1
8,627399167E-1;-3,853876495E1;-1,898521423E0;-1,470050049E1
9,632379167E-1;-4,037068939E1;3,882507324E0;-1,571426392E0
1,063735917E0;-3,535102081E1;1,164613342E1;1,572697449E1
1,164233917E0;-2,853585052E1;1,888861847E1;2,315246582E1
1,264732917E0;-2,814792633E1;1,860707092E1;2,326901245E1
1,365230917E0;-3,144361115E1;1,590179443E1;2,070252991E1
1,465728917E0;-3,115134430E1;2,145494080E1;2,064527893E1
1,566226917E0;-3,112915802E1;2,296478271E1;2,114695740E1
1,666724917E0;-3,312493134E1;2,940685272E1;1,576603699E1
1,767222417E0;-2,929740143E1;5,028549194E1;1,200314331E1
1,867720417E0;-2,178722382E1;5,949774933E1;1,773199463E1
1,968218417E0;1,572830200E0;7,688701630E1;2,407583618E1
2,068716417E0;1,251961517E1;8,637613678E1;2,434777832E1
2,169215417E0;1,743705750E1;1,040628281E2;2,791537476E1
2,269713417E0;8,706993103E0;1,060637436E2;2,699884033E1
2,370211417E0;2,592857361E0;9,165641022E1;2,031423950E1
2,470709417E0;-4,286079407E0;8,337778473E1;1,423461914E1
2,571207417E0;-1,223224640E1;7,663631439E1;6,248565674E0
2,671705417E0;-1,685311127E1;7,268869781E1;1,436920166E-1
2,772204917E0;-2,018277740E1;6,469951630E1;-1,671142578E-1
2,872702917E0;-1,961473846E1;5,753887177E1;2,234802246E-1
2,973200917E0;-2,128377533E1;4,522443390E1;-4,900054932E-1
3,073698917E0;-2,125815582E1;4,663461304E1;-2,166091919E0
3,174196917E0;-1,737413788E1;5,572253418E1;-5,908676147E0
3,274694917E0;-1,762912750E1;6,273360443E1;-3,141860962E0
3,375193917E0;-1,981615448E1;7,469622040E1;-9,763641357E-1
3,475691917E0;-2,270929718E1;8,014344025E1;1,675369263E0
3,576189917E0;-2,316735077E1;8,398043060E1;4,756423950E0
3,676687917E0;-2,601592255E1;8,451107025E1;6,529617310E0
3,777185583E0;-2,720876312E1;8,559294891E1;7,537292480E0
3,877684583E0;-2,881598663E1;9,440714264E1;5,979843140E0
3,978182583E0;-2,885570526E1;9,551932526E1;9,455535889E0
4,078680583E0;-2,289556122E1;7,507735443E1;4,231781006E0
4,179178583E0;-2,245127106E1;6,577771759E1;4,577499390E0
4,279677583E0;-2,152909088E1;6,578151703E1;6,591735840E0
4,380175583E0;-2,105559540E1;7,315671539E1;5,341384888E0
4,480673583E0;-1,915180206E1;7,506314850E1;6,942871094E0
4,581171583E0;-2,012125397E1;7,428749847E1;7,180953979E0
4,681670583E0;-2,042092133E1;6,150099945E1;1,572174072E0
4,782169167E0;-1,940096283E1;5,863925934E1;1,321273804E0
4,882667167E0;-1,938317108E1;5,747519684E1;-9,283294678E-1
4,983165167E0;-2,020122528E1;5,970139313E1;-3,100524902E0
5,083664167E0;-2,227968597E1;6,561232758E1;-1,938018799E-1
5,184162167E0;-1,732013702E1;7,472032928E1;2,918289185E0
5,284660167E0;-1,689081573E1;7,889076996E1;2,331054688E0
5,385159167E0;-1,420639801E1;7,902729034E1;9,272155762E-1
5,485657167E0;-1,175440216E1;8,214766693E1;1,280548096E0
5,586155167E0;-1,579470062E1;7,684151459E1;5,207534790E0
5,686654167E0;-1,935172272E1;5,272354126E1;6,241271973E0
