"event";"experiment time";"system time";"system time text"
"START";0,000000000000000E0;1,717513672446000E9;"2024-06-04 17:07:52.446 UTC+02:00"
"PAUSE";4,068242313749797E2;1,717514079269000E9;"2024-06-04 17:14:39.269 UTC+02:00"
