"Time (s)";"X (hPa)"
2,120837420E2;1,008056717E3
2,131562410E2;1,008064728E3
2,142287350E2;1,008076782E3
2,153012410E2;1,008080750E3
2,163736980E2;1,008084946E3
2,174461840E2;1,008092346E3
2,185186650E2;1,008097382E3
2,195911410E2;1,008099289E3
2,206636060E2;1,008099289E3
2,217360410E2;1,008099289E3
2,228085500E2;1,008102646E3
2,238810130E2;1,008107224E3
2,249534630E2;1,008107224E3
2,260259130E2;1,008106689E3
2,270983090E2;1,008102264E3
2,281707300E2;1,008089828E3
2,292431260E2;1,008081207E3
2,303155130E2;1,008075409E3
2,313879560E2;1,008075409E3
2,324603910E2;1,008077011E3
2,335328350E2;1,008080139E3
2,346053120E2;1,008083420E3
2,356777420E2;1,008087311E3
2,367502050E2;1,008092117E3
2,378226290E2;1,008096085E3
2,388950780E2;1,008098831E3
2,399675080E2;1,008100967E3
2,410399210E2;1,008100967E3
2,421123600E2;1,008100052E3
2,431847600E2;1,008100052E3
2,442571610E2;1,008101120E3
2,453295590E2;1,008101120E3
2,464019790E2;1,008098373E3
2,474743730E2;1,008094864E3
2,485467830E2;1,008089142E3
2,496192170E2;1,008079529E3
2,506916400E2;1,008067703E3
2,517640900E2;1,008055878E3
2,528365010E2;1,008044891E3
2,539089170E2;1,008028336E3
2,549813090E2;1,008013000E3
2,560537450E2;1,007996979E3
2,571261850E2;1,007979050E3
2,581986230E2;1,007958679E3
2,592710720E2;1,007938995E3
2,603435140E2;1,007917786E3
2,614159190E2;1,007904968E3
2,624882980E2;1,007892380E3
2,635606870E2;1,007891464E3
2,646330490E2;1,007891464E3
2,657054220E2;1,007902222E3
2,667778340E2;1,007917862E3
2,678502190E2;1,007941818E3
2,689226160E2;1,007963638E3
2,699949820E2;1,007992477E3
2,710673430E2;1,008014832E3
2,721397310E2;1,008030853E3
2,732121150E2;1,008040161E3
2,742845050E2;1,008040161E3
2,753569050E2;1,008039474E3
2,764292950E2;1,008033218E3
2,775016550E2;1,008026428E3
2,785740130E2;1,008019867E3
2,796463390E2;1,008016968E3
2,807186760E2;1,008016968E3
2,817910500E2;1,008018799E3
2,828634220E2;1,008024292E3
2,839357350E2;1,008029099E3
2,850081040E2;1,008032990E3
