"Time (s)";"Distance (cm)"
3,003320831E-2;5,000000000E0
1,325064167E0;0,000000000E0
1,853312250E2;5,000000000E0
1,868180360E2;5,000000000E0
1,901227855E2;0,000000000E0
3,711798911E2;5,000000000E0
