"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
4,273616397E1;5,235670868E1;4,890701571E0;1,308778041E0;4,300655305E0;1,148389622E1;7,860601065E0;2,121891433E0
4,373616719E1;5,235672462E1;4,890666311E0;1,097998767E0;3,819297350E0;5,992355027E0;7,515433255E0;2,163566653E0
4,473616946E1;5,235675930E1;4,890695184E0;9,611671939E-1;3,876763064E0;8,517294043E0;7,266640313E0;2,194175908E0
4,573617136E1;5,235678574E1;4,890708084E0;8,698528018E-1;3,750536779E0;8,850248687E0;7,141370455E0;2,226458065E0
4,673617315E1;5,235682816E1;4,890735472E0;1,255633047E0;3,764102613E0;9,748158048E0;6,858654291E0;2,301464165E0
4,773617578E1;5,235686058E1;4,890760201E0;9,331490509E-1;3,883528209E0;1,693542652E1;6,396409318E0;2,191575137E0
4,873617780E1;5,235688710E1;4,890774924E0;1,244719313E0;3,570157620E0;1,359217720E1;6,320508967E0;2,129403641E0
4,973617923E1;5,235690945E1;4,890778374E0;1,287717681E0;3,241006166E0;1,372425364E1;5,552624606E0;2,490217019E0
5,073618019E1;5,235694796E1;4,890795074E0;1,463593511E0;3,192929703E0;1,205313032E1;5,207629928E0;2,609939456E0
5,173618197E1;5,235697498E1;4,890797573E0;1,737872398E0;3,037486251E0;9,990734236E0;5,167881010E0;2,667872355E0
5,273618281E1;5,235700075E1;4,890814988E0;1,456358433E0;3,086807644E0;8,752022873E0;5,145502660E0;2,710782066E0
5,373618400E1;5,235703527E1;4,890835754E0;1,059108208E0;3,337015376E0;6,102688639E0;5,088815363E0;2,815758377E0
5,473618519E1;5,235706453E1;4,890845377E0;1,378593738E0;3,309386373E0;6,741592265E0;5,034684566E0;2,911440942E0
5,573618603E1;5,235710229E1;4,890859311E0;2,398766016E0;3,236294588E0;1,020489588E1;4,984377816E0;2,996750711E0
5,673618662E1;5,235713338E1;4,890866590E0;2,113391781E0;3,296915616E0;6,974826292E0;4,953309731E0;3,047828692E0
5,773618782E1;5,235716396E1;4,890866010E0;2,538817675E0;3,181817471E0;4,701246028E0;4,950689242E0;3,052083398E0
5,873618841E1;5,235719913E1;4,890871590E0;2,039030211E0;3,211405435E0;3,357179529E0;4,938835352E0;3,071228157E0
5,973618937E1;5,235722981E1;4,890870090E0;1,460741221E0;3,326663341E0;3,587634769E2;4,942101086E0;3,065970301E0
6,073618925E1;5,235725886E1;4,890872609E0;1,701782241E0;3,298177859E0;3,599056253E2;4,968854602E0;3,022419723E0
6,173619092E1;5,235729182E1;4,890866813E0;9,625796629E-1;3,320044553E0;3,577762367E2;5,007969120E0;2,957157813E0
6,273619044E1;5,235732380E1;4,890864949E0;6,180438139E-1;3,358688393E0;3,597886939E2;5,000625303E0;2,969559499E0
6,373619103E1;5,235734496E1;4,890874097E0;9,908632431E-1;3,182480416E0;3,598263978E2;5,069937025E0;2,849609728E0
6,473619187E1;5,235737574E1;4,890864782E0;9,225617098E-1;3,282223239E0;3,565333695E2;5,118238319E0;2,761914833E0
6,573619163E1;5,235740743E1;4,890855625E0;5,878599612E-1;3,458474496E0;3,558174184E2;5,156434270E0;2,689929861E0
6,673619473E1;5,235744190E1;4,890834366E0;2,112941332E-1;3,603647756E0;3,514303902E2;5,223881493E0;2,556481796E0
6,773619187E1;5,235747404E1;4,890835320E0;4,799985047E-1;3,587330857E0;3,536269051E2;5,275328581E0;2,448559861E0
6,873619258E1;5,235751294E1;4,890834060E0;7,611748846E-1;3,716642468E0;3,560569163E2;5,247091594E0;2,508498921E0
6,973619270E1;5,235754204E1;4,890836710E0;8,690307103E-1;3,583234187E0;3,582553625E2;5,243898831E0;2,515166413E0
7,073619270E1;5,235757575E1;4,890831791E0;5,971448831E-1;3,696465846E0;3,574571559E2;5,258083391E0;2,485376447E0
7,173619211E1;5,235760911E1;4,890829079E0;9,658135111E-1;3,608918543E0;3,591386878E2;5,268912397E0;2,462336124E0
7,273619223E1;5,235764520E1;4,890837018E0;9,652380962E-1;3,728219779E0;2,605889004E0;5,365354457E0;2,378511905E0
7,373619258E1;5,235767777E1;4,890844878E0;8,373743035E-1;3,655094473E0;5,030929004E0;5,583496014E0;2,257957485E0
7,473619342E1;5,235770583E1;4,890862269E0;1,124691763E0;3,471506198E0;1,089823725E1;5,581746341E0;2,413054207E0
7,573619246E1;5,235773155E1;4,890868647E0;8,904949166E-1;3,377042637E0;1,403884030E1;5,718846052E0;2,410120282E0
7,673619294E1;5,235775508E1;4,890873572E0;1,265358413E0;3,177254988E0;1,337936213E1;5,899849911E0;2,249320324E0
7,773619163E1;5,235778394E1;4,890889526E0;1,442696270E0;3,058679752E0;1,055764905E1;5,737591055E0;2,249718032E0
7,873619175E1;5,235781088E1;4,890896147E0;1,377988422E0;2,985722454E0;8,694757209E0;6,040191653E0;2,096168527E0
7,973619235E1;5,235783298E1;4,890906859E0;1,313527187E0;2,946019501E0;9,806666502E0;6,167745706E0;2,095876445E0
8,073619139E1;5,235785617E1;4,890899251E0;1,486555810E0;2,765842279E0;1,814845686E0;6,343267624E0;1,969643471E0
8,173619139E1;5,235788464E1;4,890907028E0;1,302705809E0;2,940586463E0;1,161573554E0;6,067577225E0;2,157511048E0
8,273619115E1;5,235790220E1;4,890917591E0;1,788606877E0;2,689359461E0;8,660502200E0;6,269607368E0;2,069998261E0
8,373619056E1;5,235792363E1;4,890926875E0;1,799744995E0;2,632111632E0;1,070400615E1;6,632471459E0;1,951050021E0
8,473619020E1;5,235794622E1;4,890935993E0;1,092291513E0;2,609318337E0;1,205817439E1;6,804002408E0;1,844825712E0
8,573619068E1;5,235796069E1;4,890930863E0;1,196273652E0;2,320277004E0;9,810417859E0;6,887051478E0;1,709400986E0
8,673618984E1;5,235797826E1;4,890947177E0;1,549401148E0;2,223165351E0;1,269164501E1;6,549458029E0;1,850924045E0
8,773619032E1;5,235799858E1;4,890956886E0;1,213415650E0;2,246950983E0;1,269962228E1;6,612688694E0;1,813752577E0
8,873618960E1;5,235801321E1;4,890961108E0;1,434184629E0;2,147557701E0;8,179516511E0;6,602299748E0;1,823832940E0
8,973618925E1;5,235803256E1;4,890957240E0;1,472178631E0;2,114689148E0;3,007741589E0;6,847397867E0;1,573799731E0
9,073618817E1;5,235803207E1;4,890958112E0;1,841760593E0;1,709908499E0;3,281409845E0;7,170307455E0;1,225741348E0
9,173618817E1;5,235803386E1;4,890968135E0;2,071702397E0;1,364720128E0;8,544042396E0;7,351482021E0;1,223568604E0
9,273618770E1;5,235805578E1;4,890963840E0;2,252066080E0;1,539830757E0;6,341562752E0;7,666372342E0;1,219186300E0
9,373618782E1;5,235809001E1;4,890961397E0;2,146919246E0;2,003599219E0;4,949312524E0;8,150769636E0;1,210765958E0
9,473618758E1;5,235810508E1;4,890975817E0;1,775004774E0;2,123277242E0;9,227702953E0;8,609672724E0;1,198926478E0
9,573618698E1;5,235813720E1;4,891004878E0;1,985597525E0;2,421990999E0;1,027844045E1;8,653317965E0;1,194847928E0
9,673618662E1;5,235816346E1;4,891023270E0;2,327124477E0;2,396236848E0;9,336620690E0;8,601682955E0;1,154259084E0
9,773618567E1;5,235818461E1;4,891008217E0;2,304907411E0;2,330083255E0;3,955577510E0;8,970653022E0;1,150810473E0
9,873618639E1;5,235821127E1;4,891012524E0;2,460068464E0;2,460656344E0;3,784276188E0;9,447374800E0;1,174813941E0
9,973618507E1;5,235824068E1;4,891028174E0;2,328901526E0;2,668763342E0;5,604280267E0;9,378544377E0;1,165042409E0
1,007361854E2;5,235830056E1;4,891001867E0;2,062083774E0;3,091203364E0;3,599957759E2;7,287309033E0;1,156317198E0
1,017361850E2;5,235833036E1;4,890989446E0;2,518238652E0;2,663525264E0;3,573248854E2;6,920518574E0;1,191551392E0
1,027361835E2;5,235838217E1;4,891010088E0;3,639982866E0;2,606311604E0;5,766188255E0;6,372192287E0;1,727421761E0
1,037361836E2;5,235841216E1;4,890999468E0;2,425231122E0;2,737131675E0;5,719736278E0;5,773801672E0;2,176186507E0
1,047361832E2;5,235844271E1;4,890997933E0;2,185446413E0;2,861186626E0;5,348306934E0;5,670888424E0;2,302527654E0
1,057361823E2;5,235849482E1;4,890969586E0;1,976491027E0;3,151818583E0;2,031551209E-1;5,208577078E0;2,587520407E0
1,067361828E2;5,235854406E1;4,890953003E0;1,608659894E0;3,394449459E0;2,058674380E-1;5,127256290E0;2,745137513E0
1,077361827E2;5,235856928E1;4,890965407E0;2,058452621E0;3,516878373E0;6,344161422E0;5,055826174E0;2,874571052E0
1,087361814E2;5,235861901E1;4,890962300E0;1,684241792E0;3,904111687E0;4,912124136E0;5,019558068E0;2,937443418E0
1,097361808E2;5,235866000E1;4,890967669E0;1,830459687E0;4,170540675E0;6,955440173E0;4,978508763E0;3,006490899E0
1,107361805E2;5,235870286E1;4,890981265E0;1,567029387E0;4,385392449E0;9,569691525E0;5,008396870E0;2,956433294E0
1,117361807E2;5,235873678E1;4,891001110E0;1,999000979E0;4,325084914E0;1,625935270E1;5,048006553E0;2,888280954E0
1,127361798E2;5,235877651E1;4,891034549E0;1,406135892E0;4,551282872E0;2,118365813E1;5,037095563E0;2,907267673E0
1,137361792E2;5,235881673E1;4,891071893E0;1,006096163E0;4,789013556E0;2,609523191E1;5,086366464E0;2,820179645E0
1,147361786E2;5,235885160E1;4,891122349E0;7,880118741E-1;4,903748277E0;3,387519841E1;5,104221553E0;2,787733733E0
1,157361790E2;5,235888042E1;4,891186369E0;1,433310066E0;4,906203843E0;4,116306755E1;5,149647073E0;2,702900674E0
1,167361776E2;5,235890566E1;4,891239152E0;1,627160663E0;4,809945948E0;4,493981349E1;5,167983272E0;2,667674255E0
1,177361772E2;5,235893618E1;4,891287156E0;9,782695984E-1;4,803643978E0;4,552484016E1;5,243461439E0;2,516078132E0
1,187361768E2;5,235896547E1;4,891335084E0;9,851958910E-1;4,847655880E0;4,530480047E1;5,272073150E0;2,455561389E0
1,197361764E2;5,235899922E1;4,891396003E0;1,035999738E0;4,872831106E0;4,423048195E1;5,348079242E0;2,285297672E0
1,207361758E2;5,235903549E1;4,891444495E0;1,013444415E0;4,812032853E0;4,385219540E1;5,519334325E0;2,115860322E0
1,217361760E2;5,235907732E1;4,891489295E0;1,250072942E0;4,818982785E0;3,847617224E1;5,659653531E0;2,016080564E0
1,227361752E2;5,235910919E1;4,891526775E0;1,096763319E0;4,765489602E0;3,425830782E1;6,066999394E0;1,692876625E0
1,237361745E2;5,235913834E1;4,891542967E0;9,154045312E-1;4,400485579E0;2,877727170E1;6,021426935E0;1,685145015E0
1,247361749E2;5,235917634E1;4,891573344E0;1,385942489E0;4,251975403E0;2,746749958E1;5,885254073E0;1,766340278E0
1,257361737E2;5,235922968E1;4,891598079E0;1,309296328E0;4,445857201E0;1,945999520E1;5,394833603E0;2,172626849E0
1,267361730E2;5,235928952E1;4,891595768E0;1,530300708E0;4,485666562E0;8,540801933E0;5,205874319E0;2,592953838E0
1,277361728E2;5,235931194E1;4,891586232E0;1,231402403E0;4,239736548E0;1,524150483E0;5,145277950E0;2,711208558E0
1,287361717E2;5,235934873E1;4,891575619E0;1,632407398E0;3,955986646E0;3,549278643E2;5,133755453E0;2,732963955E0
1,297361717E2;5,235937840E1;4,891565050E0;1,851181084E0;3,716196870E0;3,486862790E2;5,022800813E0;2,931895125E0
1,307361712E2;5,235940713E1;4,891551334E0;1,712523174E0;3,745121209E0;3,459908057E2;5,033610227E0;2,913297979E0
