"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
9,629540792E0;8,529457092E0;2,652269745E1;1,498913574E1
9,730045792E0;9,008781433E0;2,392841339E1;1,365930176E1
9,830550792E0;1,005228424E1;2,460923767E1;1,301603699E1
9,931055792E0;1,112213898E1;2,378908539E1;1,423530579E1
1,003156079E1;1,348951721E1;2,191605377E1;1,417225647E1
1,013206579E1;1,514575958E1;2,182517242E1;1,401818848E1
1,023257079E1;1,669414520E1;2,180986786E1;1,391824341E1
1,033307579E1;1,715008545E1;2,074225616E1;1,253099060E1
1,043358117E1;1,665844727E1;2,367414093E1;1,285881042E1
1,053408617E1;1,740676117E1;2,596002960E1;1,414178467E1
1,063459117E1;1,702686310E1;2,665096283E1;1,459855652E1
1,073509617E1;1,694705200E1;2,844615936E1;1,327502441E1
1,083560117E1;1,544725800E1;3,033702850E1;1,191923523E1
1,093610617E1;1,273270416E1;3,061520386E1;1,098664856E1
1,103661117E1;1,188835144E1;3,358096313E1;1,154176331E1
1,113711617E1;1,206267548E1;3,342311096E1;1,397155762E1
1,123762117E1;1,206806946E1;3,234458923E1;1,622377014E1
1,133812617E1;1,334912109E1;3,151827240E1;1,732257080E1
1,143863017E1;1,496703339E1;2,988931274E1;1,807374573E1
1,153913517E1;1,297394562E1;3,046908569E1;1,743653870E1
1,163964017E1;1,289465332E1;3,252773285E1;1,810107422E1
1,174014517E1;1,204538727E1;3,259932709E1;1,826519775E1
1,184065017E1;1,053666687E1;3,337059784E1;1,763560486E1
1,194115517E1;1,100836945E1;3,367063141E1;1,745039368E1
1,204166017E1;1,043184662E1;3,213851929E1;1,534933472E1
1,214216517E1;8,996566772E0;3,399615479E1;1,484809875E1
1,224267017E1;9,195587158E0;3,400164795E1;1,572364807E1
1,234317517E1;1,008810425E1;3,335871124E1;1,712223816E1
1,244368071E1;9,129127502E0;3,334329224E1;1,927049255E1
1,254418571E1;8,414314270E0;2,954415131E1;2,200158691E1
1,264468971E1;7,685096741E0;2,993617249E1;2,140710449E1
1,274519471E1;8,215286255E0;3,107227325E1;2,163796997E1
1,284569971E1;8,330421448E0;3,044900513E1;2,129931641E1
1,294620471E1;7,214714050E0;3,119102478E1;2,133827209E1
1,304670971E1;7,276634216E0;3,084449005E1;2,061563110E1
1,314721471E1;6,521011353E0;3,034025574E1;1,746029663E1
